name,description,overrides
signal-default,"Signal-only baseline using ADR high-low current daily open zones","InpSystemMode=1\nInpAllowLiveOrderExecution=false\nInpADRMode=0\nInpZoneBase=0\nInpSignalModule=2"
sim-default,"Simulated trading baseline using same signals, no live orders","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpADRMode=0\nInpZoneBase=0\nInpSignalModule=2"
directional-excursion,"Directional excursion asymmetric zones in signal-only mode","InpSystemMode=1\nInpAllowLiveOrderExecution=false\nInpADRMode=2\nInpZoneBase=0\nInpSignalModule=2"
previous-close-base,"Signal-only previous daily close anchor comparison","InpSystemMode=1\nInpAllowLiveOrderExecution=false\nInpADRMode=0\nInpZoneBase=1\nInpSignalModule=2"
z2-band-tp15,"Simulated support/resistance Z2 band orders only: L1/L2 buys and U1/U2 sells, $10 SL, $15 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=15.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=true\nInpSignalModule=0"
z2-band-tp20,"Simulated support/resistance Z2 band orders only: L1/L2 buys and U1/U2 sells, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=true\nInpSignalModule=0"
z2-long-edge2-tp20,"Simulated Z2 support-only lower edge buy: lower Z2 only, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpSignalModule=0"
z2-long-edge2-short-edge1-tp20,"Simulated Z2 support/resistance selective edges: lower Z2 buy plus upper Z1 sell, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=true\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=true\nInpZoneBandAllowShortEdge2=false\nInpSignalModule=0"
z2-long-edge2-tp18,"Simulated Z2 support-only lower edge buy: lower Z2 only, $10 SL, $18 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=18.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpSignalModule=0"
z2-long-edge2-sl8-tp18,"Simulated Z2 support-only lower edge buy: lower Z2 only, $8 SL, $18 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=8.0\nInpZoneBandTargetPriceDistance=18.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpSignalModule=0"
z2-long-edge2-trend-adr100-tp20,"Lower Z2 buy with anti-breakdown filters: H1 trend EMA plus max 100% daily ADR usage, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpZoneBandUseTrendFilter=true\nInpZoneBandUseAdrUsageFilter=true\nInpZoneBandMaximumDailyAdrUsagePct=100.0\nInpZoneBandUseReversalFilter=false\nInpSignalModule=0"
z2-long-edge2-trend-adr90-tp20,"Lower Z2 buy with stricter anti-breakdown filters: H1 trend EMA plus max 90% daily ADR usage, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpZoneBandUseTrendFilter=true\nInpZoneBandUseAdrUsageFilter=true\nInpZoneBandMaximumDailyAdrUsagePct=90.0\nInpZoneBandUseReversalFilter=false\nInpSignalModule=0"
z2-long-edge2-reversal-tp20,"Lower Z2 buy with RSI/Stoch recovery filter: lower Z2 only, $10 SL, $20 TP","InpSystemMode=2\nInpAllowLiveOrderExecution=false\nInpUseZoneBandOrders=true\nInpZoneBandNumber=2\nInpZoneBandStopPriceDistance=10.0\nInpZoneBandTargetPriceDistance=20.0\nInpZoneBandAllowLong=true\nInpZoneBandAllowShort=false\nInpZoneBandAllowLongEdge1=false\nInpZoneBandAllowLongEdge2=true\nInpZoneBandAllowShortEdge1=false\nInpZoneBandAllowShortEdge2=false\nInpZoneBandUseTrendFilter=false\nInpZoneBandUseAdrUsageFilter=false\nInpZoneBandUseReversalFilter=true\nInpZoneBandLongMinRsi=30.0\nInpZoneBandRequireStochTurn=true\nInpSignalModule=0"
