name,description,overrides
scalper-baseline,All 3 strategies enabled default params,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=15\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpMrMaxTrades=6\nInpMomMaxTrades=2
scalper-breakout-only,Asian Breakout strategy only,InpEnableAsianBreakout=true\nInpEnableMeanReversion=false\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=5\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=3
scalper-mr-only,Mean Reversion strategy only,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=10\nInpMaxOpenTrades=3\nInpMrMaxTrades=8
scalper-momentum-only,Momentum Continuation strategy only (EMA trend fallback),InpEnableAsianBreakout=false\nInpEnableMeanReversion=false\nInpEnableMomentum=true\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=5\nInpMaxOpenTrades=2\nInpMomMaxTrades=3
scalper-breakout-mr,Breakout plus Mean Reversion no momentum,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpMrMaxTrades=6
scalper-aggressive,All strategies with higher risk,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=false\nInpRiskPerTradePct=1.0\nInpMaxDailyLossPct=5.0\nInpMaxDailyTrades=20\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=3\nInpMrMaxTrades=8\nInpMomMaxTrades=3
scalper-conservative,All strategies with lower risk,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.3\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=10\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpMrMaxTrades=4\nInpMomMaxTrades=2
scalper-mr-lowrisk,Mean Reversion only with lower risk to reduce drawdown,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=10\nInpMaxOpenTrades=3\nInpMrMaxTrades=8
scalper-breakout-loose,Asian Breakout with relaxed range filter (wider acceptance),InpEnableAsianBreakout=true\nInpEnableMeanReversion=false\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=5\nInpMaxOpenTrades=2\nInpBreakoutMinRange=150.0\nInpBreakoutMaxRange=5000.0\nInpBreakoutMaxTrades=3
mr-v2-adx,MR with ADX regime filter only,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrAdxPeriod=14\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.0\nInpMaxConsecLoss=0\nInpEnableDdScaling=false
