time,deal,symbol,type,direction,volume,price,order,commission,swap,profit,balance,comment
2026.06.01 00:00:00,1,,balance,,,,,0.00,0.00,1 000.00,1 000.00,
2026.06.01 01:21:00,2,XAUUSD.s,buy,in,0.01,4534.85,2,0.00,0.00,0.00,1 000.00,Libra C+
2026.06.01 01:38:40,3,XAUUSD.s,sell,in,0.01,4533.53,3,0.00,0.00,0.00,1 000.00,Libra C+
2026.06.01 01:48:53,4,XAUUSD.s,sell,out,0.01,4539.39,4,0.00,0.00,4.54,1 004.54,sl 4539.39
2026.06.01 03:03:03,5,XAUUSD.s,buy,in,0.01,4542.24,5,0.00,0.00,0.00,1 004.54,Libra C+
2026.06.01 03:05:18,6,XAUUSD.s,sell,out,0.01,4544.76,6,0.00,0.00,2.52,1 007.06,sl 4544.76
2026.06.01 03:09:15,7,XAUUSD.s,buy,in,0.01,4542.26,7,0.00,0.00,0.00,1 007.06,Libra C+
2026.06.01 03:30:19,8,XAUUSD.s,sell,out,0.01,4544.27,8,0.00,0.00,2.01,1 009.07,sl 4544.29
2026.06.01 03:48:40,9,XAUUSD.s,buy,in,0.01,4542.09,9,0.00,0.00,0.00,1 009.07,Libra C+
2026.06.01 04:08:47,10,XAUUSD.s,buy,out,0.01,4528.41,10,0.00,0.00,5.12,1 014.19,sl 4528.40
2026.06.01 04:09:00,11,XAUUSD.s,buy,in,0.02,4528.74,11,0.00,0.00,0.00,1 014.19,0.0
2026.06.01 04:22:18,12,XAUUSD.s,sell,out,0.01,4535.71,12,0.00,0.00,-6.38,1 007.81,sl 4535.71
2026.06.01 04:22:18,13,XAUUSD.s,sell,out,0.02,4535.71,13,0.00,0.00,13.94,1 021.75,sl 4535.71
2026.06.01 04:22:18,14,XAUUSD.s,buy,in,0.01,4535.94,14,0.00,0.00,0.00,1 021.75,Libra C+
2026.06.01 05:29:00,15,XAUUSD.s,sell,in,0.01,4530.09,15,0.00,0.00,0.00,1 021.75,Libra C+
2026.06.01 05:30:57,16,XAUUSD.s,buy,out,0.01,4525.01,16,0.00,0.00,5.08,1 026.83,sl 4525.01
2026.06.01 05:37:46,17,XAUUSD.s,sell,in,0.01,4529.17,17,0.00,0.00,0.00,1 026.83,Libra C+
2026.06.01 05:41:01,18,XAUUSD.s,buy,out,0.01,4525.57,18,0.00,0.00,3.60,1 030.43,sl 4525.56
2026.06.01 05:45:00,19,XAUUSD.s,buy,in,0.02,4523.13,19,0.00,0.00,0.00,1 030.43,0.0
2026.06.01 06:35:38,20,XAUUSD.s,sell,in,0.01,4520.91,20,0.00,0.00,0.00,1 030.43,Libra C+
2026.06.01 06:39:59,21,XAUUSD.s,buy,out,0.01,4515.83,21,0.00,0.00,5.08,1 035.51,sl 4515.82
2026.06.01 06:45:00,22,XAUUSD.s,buy,in,0.02,4510.88,22,0.00,0.00,0.00,1 035.51,0.0
2026.06.01 07:04:37,23,XAUUSD.s,sell,in,0.01,4516.83,23,0.00,0.00,0.00,1 035.51,Libra C+
2026.06.01 07:13:26,24,XAUUSD.s,buy,out,0.01,4513.79,24,0.00,0.00,3.04,1 038.55,sl 4513.79
2026.06.01 07:17:05,25,XAUUSD.s,sell,in,0.01,4515.71,25,0.00,0.00,0.00,1 038.55,Libra C+
2026.06.01 07:49:45,26,XAUUSD.s,buy,out,0.01,4509.67,26,0.00,0.00,6.04,1 044.59,sl 4509.62
2026.06.01 07:56:17,27,XAUUSD.s,sell,in,0.01,4514.82,27,0.00,0.00,0.00,1 044.59,Libra C+
2026.06.01 08:49:59,28,XAUUSD.s,sell,out,0.01,4524.21,28,0.00,0.00,-11.73,1 032.86,sl 4524.37
2026.06.01 08:49:59,29,XAUUSD.s,sell,out,0.02,4524.21,29,0.00,0.00,2.16,1 035.02,sl 4524.37
2026.06.01 08:49:59,30,XAUUSD.s,sell,out,0.02,4524.21,30,0.00,0.00,26.66,1 061.68,sl 4524.37
2026.06.01 09:18:27,31,XAUUSD.s,buy,out,0.01,4511.29,31,0.00,0.00,3.53,1 065.21,sl 4511.29
2026.06.01 09:31:00,32,XAUUSD.s,buy,in,0.01,4512.93,32,0.00,0.00,0.00,1 065.21,Libra C+
2026.06.01 10:10:02,33,XAUUSD.s,sell,in,0.01,4506.04,33,0.00,0.00,0.00,1 065.21,Libra C+
2026.06.01 10:39:31,34,XAUUSD.s,buy,out,0.01,4504.03,34,0.00,0.00,2.01,1 067.22,sl 4504.03
2026.06.01 10:42:00,35,XAUUSD.s,buy,in,0.02,4500.77,35,0.00,0.00,0.00,1 067.22,0.0
2026.06.01 11:00:29,36,XAUUSD.s,sell,in,0.01,4502.50,36,0.00,0.00,0.00,1 067.22,Libra C+
2026.06.01 11:04:04,37,XAUUSD.s,buy,out,0.01,4498.44,37,0.00,0.00,4.06,1 071.28,sl 4498.44
2026.06.01 11:57:38,38,XAUUSD.s,sell,in,0.01,4496.03,38,0.00,0.00,0.00,1 071.28,Libra C+
2026.06.01 12:33:27,39,XAUUSD.s,buy,out,0.01,4490.93,39,0.00,0.00,5.10,1 076.38,sl 4490.92
2026.06.01 13:05:39,40,XAUUSD.s,sell,in,0.01,4496.65,40,0.00,0.00,0.00,1 076.38,Libra C+
2026.06.01 13:48:00,41,XAUUSD.s,sell,in,0.02,4509.77,41,0.00,0.00,0.00,1 076.38,0.0
2026.06.01 13:48:00,42,XAUUSD.s,buy,out,0.02,4510.00,42,0.00,0.00,-0.46,1 075.92,
2026.06.01 13:48:00,43,XAUUSD.s,buy,out,0.01,4510.00,43,0.00,0.00,-13.35,1 062.57,
2026.06.01 13:48:00,44,XAUUSD.s,sell,out,0.02,4509.77,44,0.00,0.00,18.00,1 080.57,
2026.06.01 13:48:00,45,XAUUSD.s,sell,out,0.01,4509.77,45,0.00,0.00,-3.16,1 077.41,
2026.06.01 13:58:00,46,XAUUSD.s,sell,in,0.01,4504.23,46,0.00,0.00,0.00,1 077.41,Libra C+
2026.06.01 13:59:40,47,XAUUSD.s,buy,in,0.01,4504.13,47,0.00,0.00,0.00,1 077.41,Libra C+
2026.06.01 14:04:01,48,XAUUSD.s,buy,out,0.01,4501.69,48,0.00,0.00,2.54,1 079.95,sl 4501.69
2026.06.01 14:23:02,49,XAUUSD.s,sell,out,0.01,4511.21,49,0.00,0.00,7.08,1 087.03,sl 4511.21
2026.06.01 14:37:59,50,XAUUSD.s,sell,in,0.01,4506.85,50,0.00,0.00,0.00,1 087.03,Libra C+
2026.06.01 14:53:38,51,XAUUSD.s,buy,in,0.01,4507.46,51,0.00,0.00,0.00,1 087.03,Libra C+
2026.06.01 15:03:27,52,XAUUSD.s,buy,out,0.01,4504.85,52,0.00,0.00,2.00,1 089.03,sl 4504.83
2026.06.01 15:13:30,53,XAUUSD.s,sell,in,0.01,4505.95,53,0.00,0.00,0.00,1 089.03,Libra C+
2026.06.01 15:15:38,54,XAUUSD.s,buy,out,0.01,4503.94,54,0.00,0.00,2.01,1 091.04,sl 4503.94
2026.06.01 15:29:40,55,XAUUSD.s,sell,in,0.01,4505.43,55,0.00,0.00,0.00,1 091.04,Libra C+
2026.06.01 15:31:48,56,XAUUSD.s,buy,out,0.01,4498.80,56,0.00,0.00,6.63,1 097.67,sl 4498.80
2026.06.01 15:45:20,57,XAUUSD.s,sell,out,0.01,4509.47,57,0.00,0.00,2.01,1 099.68,sl 4509.47
2026.06.01 15:55:38,58,XAUUSD.s,sell,in,0.01,4504.14,58,0.00,0.00,0.00,1 099.68,Libra C+
2026.06.01 15:58:47,59,XAUUSD.s,buy,out,0.01,4500.06,59,0.00,0.00,4.08,1 103.76,sl 4500.06
2026.06.01 16:46:00,60,XAUUSD.s,buy,in,0.01,4468.18,60,0.00,0.00,0.00,1 103.76,Libra C+
2026.06.01 16:54:00,61,XAUUSD.s,buy,in,0.02,4455.88,61,0.00,0.00,0.00,1 103.76,0.0
2026.06.01 17:16:45,62,XAUUSD.s,sell,out,0.01,4463.62,62,0.00,0.00,-4.56,1 099.20,sl 4463.64
2026.06.01 17:16:45,63,XAUUSD.s,sell,out,0.02,4463.62,63,0.00,0.00,15.48,1 114.68,sl 4463.64
2026.06.01 17:33:39,64,XAUUSD.s,sell,in,0.01,4457.14,64,0.00,0.00,0.00,1 114.68,Libra C+
2026.06.01 17:38:28,65,XAUUSD.s,buy,out,0.01,4455.13,65,0.00,0.00,2.01,1 116.69,sl 4455.13
2026.06.01 17:46:41,66,XAUUSD.s,sell,in,0.01,4456.29,66,0.00,0.00,0.00,1 116.69,Libra C+
2026.06.01 17:52:04,67,XAUUSD.s,buy,out,0.01,4453.29,67,0.00,0.00,3.00,1 119.69,sl 4453.28
2026.06.01 17:56:15,68,XAUUSD.s,sell,in,0.01,4456.90,68,0.00,0.00,0.00,1 119.69,Libra C+
2026.06.01 18:31:00,69,XAUUSD.s,sell,in,0.02,4472.28,69,0.00,0.00,0.00,1 119.69,0.0
2026.06.01 19:07:40,70,XAUUSD.s,buy,in,0.01,4472.10,70,0.00,0.00,0.00,1 119.69,Libra C+
2026.06.01 19:18:59,71,XAUUSD.s,buy,out,0.01,4464.18,71,0.00,0.00,-7.28,1 112.41,sl 4464.15
2026.06.01 19:18:59,72,XAUUSD.s,buy,out,0.02,4464.18,72,0.00,0.00,16.20,1 128.61,sl 4464.15
2026.06.01 19:53:57,73,XAUUSD.s,sell,out,0.01,4477.64,73,0.00,0.00,5.54,1 134.15,sl 4477.64
2026.06.01 20:12:00,74,XAUUSD.s,sell,in,0.01,4474.83,74,0.00,0.00,0.00,1 134.15,Libra C+
2026.06.01 20:44:00,75,XAUUSD.s,sell,in,0.02,4489.03,75,0.00,0.00,0.00,1 134.15,0.0
2026.06.01 21:17:40,76,XAUUSD.s,buy,in,0.01,4487.66,76,0.00,0.00,0.00,1 134.15,Libra C+
2026.06.01 22:56:15,77,XAUUSD.s,buy,out,0.01,4481.27,77,0.00,0.00,-6.44,1 127.71,sl 4481.27
2026.06.01 22:56:15,78,XAUUSD.s,buy,out,0.02,4481.27,78,0.00,0.00,15.52,1 143.23,sl 4481.27
2026.06.01 23:06:27,79,XAUUSD.s,sell,in,0.01,4483.56,79,0.00,0.00,0.00,1 143.23,Libra C+
2026.06.01 23:57:59,80,XAUUSD.s,buy,out,0.01,4484.29,80,0.00,0.00,-0.73,1 142.50,end of test
2026.06.01 23:57:59,81,XAUUSD.s,sell,out,0.01,4484.01,81,0.00,0.00,-3.65,1 138.85,end of test
