time,deal,symbol,type,direction,volume,price,order,commission,swap,profit,balance,comment
2026.06.20 00:00:00,1,,balance,,,,,0.00,0.00,1 000.00,1 000.00,
2026.06.22 01:11:00,2,XAUUSD.s,sell,in,0.01,4153.84,2,0.00,0.00,0.00,1 000.00,Libra C+
2026.06.22 01:11:46,3,XAUUSD.s,buy,out,0.01,4151.82,3,0.00,0.00,2.02,1 002.02,sl 4151.82
2026.06.22 01:22:01,4,XAUUSD.s,sell,in,0.01,4152.27,4,0.00,0.00,0.00,1 002.02,Libra C+
2026.06.22 01:25:24,5,XAUUSD.s,buy,out,0.01,4150.25,5,0.00,0.00,2.02,1 004.04,sl 4150.23
2026.06.22 02:16:00,6,XAUUSD.s,sell,in,0.01,4155.69,6,0.00,0.00,0.00,1 004.04,Libra C+
2026.06.22 02:20:29,7,XAUUSD.s,buy,in,0.01,4156.11,7,0.00,0.00,0.00,1 004.04,Libra C+
2026.06.22 02:24:33,8,XAUUSD.s,sell,out,0.01,4157.89,8,0.00,0.00,1.78,1 005.82,sl 4158.16
2026.06.22 02:26:42,9,XAUUSD.s,buy,in,0.01,4156.58,9,0.00,0.00,0.00,1 005.82,Libra C+
2026.06.22 02:31:49,10,XAUUSD.s,buy,out,0.01,4152.60,10,0.00,0.00,3.09,1 008.91,sl 4152.60
2026.06.22 02:36:00,11,XAUUSD.s,buy,in,0.02,4143.79,11,0.00,0.00,0.00,1 008.91,0.0
2026.06.22 03:02:03,12,XAUUSD.s,sell,in,0.01,4148.19,12,0.00,0.00,0.00,1 008.91,Libra C+
2026.06.22 03:02:51,13,XAUUSD.s,buy,out,0.01,4145.32,13,0.00,0.00,2.87,1 011.78,sl 4145.11
2026.06.22 03:02:51,14,XAUUSD.s,sell,in,0.01,4145.04,14,0.00,0.00,0.00,1 011.78,Libra C+
2026.06.22 03:03:42,15,XAUUSD.s,buy,out,0.01,4143.05,15,0.00,0.00,1.99,1 013.77,sl 4143.03
2026.06.22 03:10:11,16,XAUUSD.s,sell,out,0.01,4150.03,16,0.00,0.00,-6.55,1 007.22,sl 4150.14
2026.06.22 03:10:11,17,XAUUSD.s,sell,out,0.02,4150.03,17,0.00,0.00,12.48,1 019.70,sl 4150.14
2026.06.22 03:39:05,18,XAUUSD.s,sell,in,0.01,4170.29,18,0.00,0.00,0.00,1 019.70,Libra C+
2026.06.22 03:50:00,19,XAUUSD.s,sell,in,0.02,4183.64,19,0.00,0.00,0.00,1 019.70,0.0
2026.06.22 03:56:00,20,XAUUSD.s,sell,in,0.02,4196.54,20,0.00,0.00,0.00,1 019.70,0.0
2026.06.22 04:15:00,21,XAUUSD.s,sell,in,0.03,4211.66,21,0.00,0.00,0.00,1 019.70,0.0
2026.06.22 04:40:36,22,XAUUSD.s,buy,in,0.01,4205.03,22,0.00,0.00,0.00,1 019.70,Libra C+
2026.06.22 04:49:29,23,XAUUSD.s,sell,out,0.01,4193.97,23,0.00,0.00,-11.06,1 008.64,
2026.06.22 04:49:29,24,XAUUSD.s,buy,out,0.03,4194.24,24,0.00,0.00,52.26,1 060.90,
2026.06.22 04:49:29,25,XAUUSD.s,buy,out,0.02,4194.24,25,0.00,0.00,4.60,1 065.50,
2026.06.22 04:49:29,26,XAUUSD.s,buy,out,0.02,4194.24,26,0.00,0.00,-21.20,1 044.30,
2026.06.22 04:49:29,27,XAUUSD.s,buy,out,0.01,4194.24,27,0.00,0.00,-23.95,1 020.35,
2026.06.22 05:24:24,28,XAUUSD.s,buy,in,0.01,4190.22,28,0.00,0.00,0.00,1 020.35,Libra C+
2026.06.22 05:30:27,29,XAUUSD.s,sell,out,0.01,4192.28,29,0.00,0.00,2.06,1 022.41,sl 4192.28
2026.06.22 05:31:04,30,XAUUSD.s,sell,in,0.01,4191.20,30,0.00,0.00,0.00,1 022.41,Libra C+
2026.06.22 05:48:11,31,XAUUSD.s,buy,out,0.01,4188.76,31,0.00,0.00,2.44,1 024.85,sl 4188.67
2026.06.22 05:50:05,32,XAUUSD.s,sell,in,0.01,4190.27,32,0.00,0.00,0.00,1 024.85,Libra C+
2026.06.22 06:01:08,33,XAUUSD.s,buy,out,0.01,4188.18,33,0.00,0.00,2.09,1 026.94,sl 4188.16
2026.06.22 06:34:00,34,XAUUSD.s,buy,in,0.01,4179.67,34,0.00,0.00,0.00,1 026.94,Libra C+
2026.06.22 07:11:23,35,XAUUSD.s,sell,in,0.01,4176.22,35,0.00,0.00,0.00,1 026.94,Libra C+
2026.06.22 08:08:07,36,XAUUSD.s,sell,out,0.01,4182.26,36,0.00,0.00,2.59,1 029.53,sl 4182.32
2026.06.22 08:25:00,37,XAUUSD.s,sell,in,0.02,4188.78,37,0.00,0.00,0.00,1 029.53,0.0
2026.06.22 09:05:11,38,XAUUSD.s,buy,in,0.01,4192.47,38,0.00,0.00,0.00,1 029.53,Libra C+
2026.06.22 09:08:01,39,XAUUSD.s,sell,out,0.01,4194.50,39,0.00,0.00,2.03,1 031.56,sl 4194.50
2026.06.22 09:45:00,40,XAUUSD.s,sell,in,0.02,4202.15,40,0.00,0.00,0.00,1 031.56,0.0
2026.06.22 10:02:31,41,XAUUSD.s,buy,in,0.01,4199.76,41,0.00,0.00,0.00,1 031.56,Libra C+
2026.06.22 12:04:54,42,XAUUSD.s,sell,out,0.01,4201.81,42,0.00,0.00,2.05,1 033.61,sl 4201.82
2026.06.22 12:47:06,43,XAUUSD.s,buy,in,0.01,4205.36,43,0.00,0.00,0.00,1 033.61,Libra C+
2026.06.22 12:52:07,44,XAUUSD.s,sell,out,0.01,4209.02,44,0.00,0.00,3.66,1 037.27,sl 4209.07
2026.06.22 13:38:27,45,XAUUSD.s,buy,in,0.01,4210.35,45,0.00,0.00,0.00,1 037.27,Libra C+
2026.06.22 14:05:57,46,XAUUSD.s,sell,out,0.01,4213.48,46,0.00,0.00,3.13,1 040.40,sl 4213.53
2026.06.22 14:42:00,47,XAUUSD.s,buy,in,0.01,4206.33,47,0.00,0.00,0.00,1 040.40,Libra C+
2026.06.22 15:03:50,48,XAUUSD.s,sell,out,0.01,4209.58,48,0.00,0.00,3.25,1 043.65,sl 4209.58
2026.06.22 15:11:35,49,XAUUSD.s,buy,in,0.01,4208.22,49,0.00,0.00,0.00,1 043.65,Libra C+
2026.06.22 15:23:42,50,XAUUSD.s,sell,out,0.01,4210.80,50,0.00,0.00,2.58,1 046.23,sl 4210.83
2026.06.22 16:17:00,51,XAUUSD.s,buy,in,0.01,4196.44,51,0.00,0.00,0.00,1 046.23,Libra C+
2026.06.22 16:26:04,52,XAUUSD.s,buy,out,0.01,4189.69,52,0.00,0.00,-13.47,1 032.76,sl 4189.61
2026.06.22 16:26:04,53,XAUUSD.s,buy,out,0.02,4189.69,53,0.00,0.00,-1.82,1 030.94,sl 4189.61
2026.06.22 16:26:04,54,XAUUSD.s,buy,out,0.02,4189.69,54,0.00,0.00,24.92,1 055.86,sl 4189.61
2026.06.22 16:40:47,55,XAUUSD.s,sell,in,0.01,4191.93,55,0.00,0.00,0.00,1 055.86,Libra C+
2026.06.22 16:41:55,56,XAUUSD.s,buy,out,0.01,4189.87,56,0.00,0.00,2.06,1 057.92,sl 4189.86
2026.06.22 16:44:00,57,XAUUSD.s,sell,in,0.01,4191.32,57,0.00,0.00,0.00,1 057.92,Libra C+
2026.06.22 16:45:19,58,XAUUSD.s,buy,out,0.01,4188.96,58,0.00,0.00,2.36,1 060.28,sl 4188.72
2026.06.22 16:48:28,59,XAUUSD.s,sell,out,0.01,4198.44,59,0.00,0.00,2.00,1 062.28,sl 4198.45
2026.06.22 17:03:02,60,XAUUSD.s,sell,in,0.01,4193.79,60,0.00,0.00,0.00,1 062.28,Libra C+
2026.06.22 17:09:00,61,XAUUSD.s,sell,in,0.02,4208.91,61,0.00,0.00,0.00,1 062.28,0.0
2026.06.22 17:11:54,62,XAUUSD.s,buy,out,0.01,4201.97,62,0.00,0.00,-8.18,1 054.10,sl 4201.69
2026.06.22 17:11:54,63,XAUUSD.s,buy,out,0.02,4201.97,63,0.00,0.00,13.88,1 067.98,sl 4201.69
2026.06.22 17:43:36,64,XAUUSD.s,buy,in,0.01,4197.32,64,0.00,0.00,0.00,1 067.98,Libra C+
2026.06.22 17:46:53,65,XAUUSD.s,sell,out,0.01,4201.50,65,0.00,0.00,4.18,1 072.16,sl 4201.51
2026.06.22 17:46:53,66,XAUUSD.s,buy,in,0.01,4201.78,66,0.00,0.00,0.00,1 072.16,Libra C+
2026.06.22 17:47:23,67,XAUUSD.s,sell,out,0.01,4204.87,67,0.00,0.00,3.09,1 075.25,sl 4205.20
2026.06.22 17:56:00,68,XAUUSD.s,buy,in,0.01,4197.52,68,0.00,0.00,0.00,1 075.25,Libra C+
2026.06.22 17:58:39,69,XAUUSD.s,sell,out,0.01,4199.52,69,0.00,0.00,2.00,1 077.25,sl 4199.57
2026.06.22 18:06:39,70,XAUUSD.s,sell,in,0.01,4195.71,70,0.00,0.00,0.00,1 077.25,Libra C+
2026.06.22 18:19:48,71,XAUUSD.s,buy,out,0.01,4191.87,71,0.00,0.00,3.84,1 081.09,sl 4191.87
2026.06.22 18:58:00,72,XAUUSD.s,buy,in,0.01,4184.89,72,0.00,0.00,0.00,1 081.09,Libra C+
2026.06.22 19:43:08,73,XAUUSD.s,sell,in,0.01,4182.37,73,0.00,0.00,0.00,1 081.09,Libra C+
2026.06.22 19:54:23,74,XAUUSD.s,sell,out,0.01,4186.98,74,0.00,0.00,2.09,1 083.18,sl 4187.01
2026.06.22 20:33:05,75,XAUUSD.s,buy,out,0.01,4180.35,75,0.00,0.00,2.02,1 085.20,sl 4180.32
2026.06.22 20:52:39,76,XAUUSD.s,buy,in,0.01,4181.95,76,0.00,0.00,0.00,1 085.20,Libra C+
2026.06.22 21:02:05,77,XAUUSD.s,sell,out,0.01,4184.18,77,0.00,0.00,2.23,1 087.43,sl 4184.22
2026.06.22 21:02:26,78,XAUUSD.s,sell,in,0.01,4183.82,78,0.00,0.00,0.00,1 087.43,Libra C+
2026.06.22 22:38:07,79,XAUUSD.s,buy,in,0.01,4190.38,79,0.00,0.00,0.00,1 087.43,Libra C+
2026.06.22 23:03:24,80,XAUUSD.s,sell,out,0.01,4192.95,80,0.00,0.00,2.57,1 090.00,sl 4192.95
2026.06.22 23:48:15,81,XAUUSD.s,buy,in,0.01,4191.68,81,0.00,0.00,0.00,1 090.00,Libra C+
2026.06.22 23:58:00,82,XAUUSD.s,sell,out,0.01,4192.27,82,0.00,0.00,0.59,1 090.59,end of test
2026.06.22 23:58:00,83,XAUUSD.s,buy,out,0.01,4192.62,83,0.00,0.00,-8.80,1 081.79,end of test
