time	message
2025.03.03 00:00:00	Tester chain state imported originalChallengeBalance=50000.00 testerStartBalance=50646.00 file=GoldBot/fundingpips-chain-state.csv
2025.03.03 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.03.03 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.03.03 02:05:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.03 avgAtr=0.81 atrRatio=2.50 min=0.75 max=1.70
2025.03.03 02:06:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.25 avgAtr=0.84 atrRatio=2.67 min=0.75 max=1.70
2025.03.03 02:07:00	M1 micro scalp blocked spread=0.35 max=0.25 prop=yes
2025.03.03 02:08:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.48 avgAtr=0.87 atrRatio=2.86 min=0.75 max=1.70
2025.03.03 02:09:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2025.03.03 02:10:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.75 avgAtr=0.89 atrRatio=3.09 min=0.75 max=1.70
2025.03.03 02:11:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.98 avgAtr=0.92 atrRatio=3.25 min=0.75 max=1.70
2025.03.03 02:12:00	M1 micro scalp blocked volatilityRegime hour=2 atr=3.09 avgAtr=0.93 atrRatio=3.33 min=0.75 max=1.70
2025.03.03 02:13:00	M1 micro scalp blocked volatilityRegime hour=2 atr=3.21 avgAtr=0.94 atrRatio=3.42 min=0.75 max=1.70
2025.03.03 02:14:00	M1 micro scalp blocked volatilityRegime hour=2 atr=3.34 avgAtr=0.95 atrRatio=3.52 min=0.75 max=1.70
2025.03.03 02:16:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.75 avgAtr=0.96 atrRatio=2.86 min=0.75 max=1.70
2025.03.03 02:17:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.24 avgAtr=0.96 atrRatio=2.32 min=0.75 max=1.70
2025.03.03 02:18:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.09 avgAtr=0.96 atrRatio=2.17 min=0.75 max=1.70
2025.03.03 02:19:00	M1 micro scalp blocked volatilityRegime hour=2 atr=2.03 avgAtr=0.97 atrRatio=2.10 min=0.75 max=1.70
2025.03.03 02:20:00	M1 micro scalp blocked volatilityRegime hour=2 atr=1.84 avgAtr=0.97 atrRatio=1.90 min=0.75 max=1.70
2025.03.03 02:21:00	M1 micro scalp blocked reason=no_setup hour=2 close=2873.87 ema21=2870.87 vwap=2871.45 low=2873.62 high=2873.95 spread=0.10 longPullback=no shortPullback=no
2025.03.03 02:22:00	M1 micro scalp blocked volatilityRegime hour=2 atr=1.75 avgAtr=0.99 atrRatio=1.77 min=0.75 max=1.70
2025.03.03 02:23:00	M1 micro scalp blocked dir=1 hour=2 spread=0.11 adx=22.24 minAdx=18.00 adxOk=yes diGap=0.27 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no m5=no m5Long=no m5Short=no atr=1.64 atrRatio=1.64 atrOk=yes zone=yes hourOk=no
2025.03.03 02:24:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.14 adx=22.63 minAdx=18.00 adxOk=yes diGap=11.09 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no m5=no m5Long=no m5Short=no atr=1.67 atrRatio=1.66 atrOk=yes zone=yes hourOk=no
2025.03.03 02:25:00	M5 scalp blocked reason=no_setup hour=2 close=2870.28 ema21=2861.86 vwap=2871.13 low=2870.27 high=2874.12 spread=0.15 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.03.03 02:25:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.15 adx=23.13 minAdx=18.00 adxOk=yes diGap=10.23 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no m5=no m5Long=no m5Short=no atr=1.49 atrRatio=1.48 atrOk=yes zone=yes hourOk=no
2025.03.03 02:26:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.15 adx=24.90 minAdx=18.00 adxOk=yes diGap=14.20 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no m5=no m5Long=no m5Short=no atr=1.39 atrRatio=1.38 atrOk=yes zone=yes hourOk=no
2025.03.03 02:27:00	M1 micro scalp blocked reason=no_setup hour=2 close=2871.18 ema21=2870.92 vwap=2871.41 low=2870.13 high=2871.84 spread=0.15 longPullback=no shortPullback=no
2025.03.03 02:28:00	M1 micro scalp blocked reason=no_setup hour=2 close=2871.20 ema21=2870.95 vwap=2871.41 low=2870.96 high=2871.62 spread=0.15 longPullback=no shortPullback=no
2025.03.03 02:29:00	M1 micro scalp blocked reason=no_setup hour=2 close=2871.37 ema21=2870.99 vwap=2871.41 low=2871.10 high=2871.37 spread=0.15 longPullback=no shortPullback=no
