window,setup,direction,trades,net_profit,loss_trades,loss_days,days_with_2plus_losses,days_with_3plus_losses,max_cross_day_consecutive_losses,max_same_day_consecutive_losses,cross_day_loss_transitions,max_gap_hours_inside_loss_streak
h1-2024,m1_micro_scalp,-1,11,149.48,5,5,0,0,4,1,3,168.081
h1-2024,m5_scalp,-1,17,1009.98,3,3,0,0,1,1,0,0.0
h1-2025,m1_micro_scalp,-1,27,106.84,12,11,1,0,7,2,7,790.221
h1-2025,m5_scalp,-1,13,890.04,2,2,0,0,1,1,0,0.0
h1-2026,m1_micro_scalp,-1,19,426.69,6,5,1,0,4,2,2,1031.967
h1-2026,m5_scalp,-1,25,654.68,7,7,0,0,2,1,1,382.832
h2-2024,m1_micro_scalp,-1,7,-167.23,3,3,0,0,2,1,1,768.479
h2-2024,m5_scalp,-1,7,-629.17,5,5,0,0,4,1,3,385.599
h2-2025,m1_micro_scalp,-1,10,-159.78,4,4,0,0,4,1,3,1774.738
h2-2025,m5_scalp,-1,14,-3.13,6,6,0,0,4,1,3,1054.071
h1-2024,all_short_term_scalps,all,28,1159.46,8,6,2,0,3,2,3,312.247
h1-2025,all_short_term_scalps,all,40,996.88,14,12,2,0,3,2,4,790.221
h1-2026,all_short_term_scalps,all,44,1081.37,13,12,1,0,5,2,4,481.629
h2-2024,all_short_term_scalps,all,14,-796.4,8,8,0,0,5,1,5,407.104
h2-2025,all_short_term_scalps,all,24,-162.91,10,9,1,0,4,2,5,814.458
