time	message
2024.12.02 00:00:00	Tester chain state imported originalChallengeBalance=50000.00 testerStartBalance=49103.00 file=GoldBot/fundingpips-chain-state.csv
2024.12.02 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2024.12.02 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2024.12.02 02:00:00	Monthly risk baseline reset month=202412 equity=49103.00
2024.12.02 02:05:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.08 adx=20.07 minAdx=18.00 adxOk=yes diGap=2.76 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.09 atrRatio=1.61 atrOk=yes zone=yes hourOk=no
2024.12.02 02:06:00	M1 micro scalp blocked reason=no_setup hour=2 close=2648.22 ema21=2649.68 vwap=2649.96 low=2648.02 high=2649.08 spread=0.20 longPullback=no shortPullback=no
2024.12.02 02:07:00	M1 micro scalp blocked spread=0.46 max=0.25 prop=yes
2024.12.02 02:08:00	M1 micro scalp blocked spread=0.33 max=0.25 prop=yes
2024.12.02 02:09:00	M1 micro scalp blocked volatilityRegime hour=2 atr=1.17 avgAtr=0.68 atrRatio=1.72 min=0.75 max=1.70
2024.12.02 02:10:00	M1 micro scalp blocked volatilityRegime hour=2 atr=1.15 avgAtr=0.68 atrRatio=1.71 min=0.75 max=1.70
2024.12.02 02:11:00	M1 micro scalp blocked spread=0.34 max=0.25 prop=yes
2024.12.02 02:12:00	M1 micro scalp blocked spread=0.31 max=0.25 prop=yes
2024.12.02 02:13:00	M1 micro scalp blocked spread=0.28 max=0.25 prop=yes
2024.12.02 02:14:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2024.12.02 02:16:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2024.12.02 02:17:00	M1 micro scalp blocked reason=no_setup hour=2 close=2648.99 ema21=2648.86 vwap=2649.38 low=2648.42 high=2648.99 spread=0.25 longPullback=no shortPullback=no
2024.12.02 02:18:00	M1 micro scalp blocked spread=0.30 max=0.25 prop=yes
2024.12.02 02:19:00	M1 micro scalp blocked spread=0.38 max=0.25 prop=yes
2024.12.02 02:20:00	M1 micro scalp blocked reason=no_setup hour=2 close=2649.12 ema21=2648.98 vwap=2649.38 low=2649.05 high=2649.77 spread=0.25 longPullback=no shortPullback=no
2024.12.02 02:21:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.24 adx=27.40 minAdx=18.00 adxOk=yes diGap=5.35 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.68 atrRatio=0.99 atrOk=yes zone=yes hourOk=no
2024.12.02 02:22:00	M1 micro scalp blocked dir=-1 hour=2 spread=0.15 adx=26.17 minAdx=18.00 adxOk=yes diGap=8.47 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.69 atrRatio=1.00 atrOk=yes zone=yes hourOk=no
2024.12.02 02:23:00	M1 micro scalp blocked spread=0.34 max=0.25 prop=yes
2024.12.02 02:24:00	M1 micro scalp blocked reason=no_setup hour=2 close=2646.81 ema21=2648.49 vwap=2649.19 low=2646.80 high=2647.19 spread=0.11 longPullback=no shortPullback=no
2024.12.02 02:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.25 adx=36.63 minAdx=18.00 adxOk=yes diGap=8.27 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.58 atrRatio=0.73 atrOk=yes zone=yes hourOk=no
2024.12.02 02:25:00	M1 micro scalp blocked reason=no_setup hour=2 close=2646.30 ema21=2648.29 vwap=2649.13 low=2646.15 high=2646.90 spread=0.25 longPullback=no shortPullback=no
2024.12.02 02:26:00	M1 micro scalp blocked spread=0.28 max=0.25 prop=yes
2024.12.02 02:27:00	M1 micro scalp blocked spread=0.37 max=0.25 prop=yes
2024.12.02 02:28:00	M1 micro scalp blocked spread=0.39 max=0.25 prop=yes
2024.12.02 02:29:00	M1 micro scalp blocked spread=0.38 max=0.25 prop=yes
2024.12.02 02:31:00	M1 micro scalp blocked spread=0.44 max=0.25 prop=yes
2024.12.02 02:32:00	M1 micro scalp blocked spread=0.39 max=0.25 prop=yes
