time	message
2025.04.07 00:00:00	Tester chain state imported originalChallengeBalance=50000.00 testerStartBalance=52458.00 file=GoldBot/fundingpips-chain-state.csv
2025.04.07 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.04.07 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.04.07 01:02:00	M1 micro scalp blocked spread=1.05 max=0.25 prop=yes
2025.04.07 01:03:00	M1 micro scalp blocked spread=0.50 max=0.25 prop=yes
2025.04.07 01:04:00	M1 micro scalp blocked spread=1.10 max=0.25 prop=yes
2025.04.07 01:05:00	M5 scalp blocked spread=2.00 max=0.35 prop=yes
2025.04.07 01:05:00	M1 micro scalp blocked spread=2.00 max=0.25 prop=yes
2025.04.07 01:06:00	M1 micro scalp blocked spread=2.00 max=0.25 prop=yes
2025.04.07 01:07:00	M1 micro scalp blocked spread=2.01 max=0.25 prop=yes
2025.04.07 01:08:00	M1 micro scalp blocked spread=2.00 max=0.25 prop=yes
2025.04.07 01:09:00	M1 micro scalp blocked spread=1.99 max=0.25 prop=yes
2025.04.07 01:10:00	M5 scalp blocked spread=1.44 max=0.35 prop=yes
2025.04.07 01:10:00	M1 micro scalp blocked spread=1.44 max=0.25 prop=yes
2025.04.07 01:11:00	M1 micro scalp blocked spread=0.48 max=0.25 prop=yes
2025.04.07 01:12:00	M1 micro scalp blocked volatilityRegime hour=1 atr=9.43 avgAtr=2.76 atrRatio=3.42 min=0.75 max=1.70
2025.04.07 01:13:00	M1 micro scalp blocked spread=0.31 max=0.25 prop=yes
2025.04.07 01:14:00	M1 micro scalp blocked volatilityRegime hour=1 atr=9.91 avgAtr=2.80 atrRatio=3.54 min=0.75 max=1.70
2025.04.07 01:16:00	M1 micro scalp blocked spread=1.29 max=0.25 prop=yes
2025.04.07 01:17:00	M1 micro scalp blocked spread=0.75 max=0.25 prop=yes
2025.04.07 01:18:00	M1 micro scalp blocked spread=1.77 max=0.25 prop=yes
2025.04.07 01:19:00	M1 micro scalp blocked spread=0.81 max=0.25 prop=yes
2025.04.07 01:20:00	M5 scalp blocked spread=0.68 max=0.35 prop=yes
2025.04.07 01:20:00	M1 micro scalp blocked spread=0.68 max=0.25 prop=yes
2025.04.07 01:21:00	M1 micro scalp blocked spread=0.91 max=0.25 prop=yes
2025.04.07 01:22:00	M1 micro scalp blocked spread=1.01 max=0.25 prop=yes
2025.04.07 01:23:00	M1 micro scalp blocked spread=1.12 max=0.25 prop=yes
2025.04.07 01:24:00	M1 micro scalp blocked spread=0.78 max=0.25 prop=yes
2025.04.07 01:25:00	M5 scalp blocked spread=0.62 max=0.35 prop=yes
2025.04.07 01:25:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.04.07 01:26:00	M1 micro scalp blocked spread=2.00 max=0.25 prop=yes
2025.04.07 01:27:00	M1 micro scalp blocked spread=1.50 max=0.25 prop=yes
2025.04.07 01:28:00	M1 micro scalp blocked reason=no_setup hour=1 close=3015.36 ema21=3019.34 vwap=3020.35 low=3013.79 high=3015.60 spread=0.21 longPullback=no shortPullback=no
2025.04.07 01:29:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2025.04.07 01:31:00	M1 micro scalp blocked spread=1.63 max=0.25 prop=yes
2025.04.07 01:32:00	M1 micro scalp blocked spread=1.99 max=0.25 prop=yes
2025.04.07 01:33:00	M1 micro scalp blocked spread=1.77 max=0.25 prop=yes
2025.04.07 01:34:00	M1 micro scalp blocked spread=1.12 max=0.25 prop=yes
2025.04.07 01:35:00	M5 scalp blocked spread=1.49 max=0.35 prop=yes
2025.04.07 01:35:00	M1 micro scalp blocked spread=1.49 max=0.25 prop=yes
2025.04.07 01:36:00	M1 micro scalp blocked spread=1.15 max=0.25 prop=yes
