journal,group,value,closed_deals,net_profit,gross_profit,gross_loss,profit_factor,win_rate_pct
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,confluence_count,3,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,confluence_count,6,25,667.43,2014.17,-1346.74,1.50,72.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,confluence_count,7,19,437.74,1775.52,-1337.78,1.33,68.42
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction,-1,44,1105.17,3789.69,-2684.52,1.41,70.45
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction,1,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour,dir-1_hour10,22,428.85,1785.91,-1357.06,1.32,68.18
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour,dir-1_hour8,22,676.32,2003.78,-1327.46,1.51,72.73
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour,dir1_hour12,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour_split,dir-1_hour10_split1,22,428.85,1785.91,-1357.06,1.32,68.18
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour_split,dir-1_hour8_split1,22,676.32,2003.78,-1327.46,1.51,72.73
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_hour_split,dir1_hour12_split1,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_split,dir-1_split1,44,1105.17,3789.69,-2684.52,1.41,70.45
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,direction_split,dir1_split1,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,exit_reason,3,28,3515.52,3515.52,0.00,3515.52,100.00
