time	message
2025.11.03 00:00:00	Tester chain state imported originalChallengeBalance=50000.00 testerStartBalance=51838.00 file=GoldBot/fundingpips-chain-state.csv
2025.11.03 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.11.03 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.11.03 01:01:00	Monthly risk baseline reset month=202511 equity=51838.00
2025.11.03 01:02:00	M1 micro scalp blocked spread=0.69 max=0.25 prop=yes
2025.11.03 01:03:00	M1 micro scalp blocked spread=0.91 max=0.25 prop=yes
2025.11.03 01:04:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:05:00	M5 scalp blocked spread=0.67 max=0.35 prop=yes
2025.11.03 01:05:00	M1 micro scalp blocked spread=0.67 max=0.25 prop=yes
2025.11.03 01:06:00	M1 micro scalp blocked spread=0.74 max=0.25 prop=yes
2025.11.03 01:07:00	M1 micro scalp blocked spread=0.71 max=0.25 prop=yes
2025.11.03 01:08:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 01:09:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:10:00	M5 scalp blocked spread=0.65 max=0.35 prop=yes
2025.11.03 01:10:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:11:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:12:00	M1 micro scalp blocked spread=0.71 max=0.25 prop=yes
2025.11.03 01:13:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:14:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 01:16:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 01:17:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:18:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:19:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:20:00	M5 scalp blocked spread=0.64 max=0.35 prop=yes
2025.11.03 01:20:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:21:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:22:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:23:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:24:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:25:00	M5 scalp blocked spread=0.64 max=0.35 prop=yes
2025.11.03 01:25:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:26:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:27:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:28:00	M1 micro scalp blocked spread=0.72 max=0.25 prop=yes
2025.11.03 01:29:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:31:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 01:32:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 01:33:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 01:34:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:35:00	M5 scalp blocked spread=0.63 max=0.35 prop=yes
2025.11.03 01:35:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:36:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 01:37:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:38:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:39:00	M1 micro scalp blocked spread=0.69 max=0.25 prop=yes
2025.11.03 01:40:00	M5 scalp blocked spread=0.70 max=0.35 prop=yes
2025.11.03 01:40:00	M1 micro scalp blocked spread=0.70 max=0.25 prop=yes
2025.11.03 01:41:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:42:00	M1 micro scalp blocked spread=0.66 max=0.25 prop=yes
2025.11.03 01:43:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:44:00	M1 micro scalp blocked spread=0.60 max=0.25 prop=yes
2025.11.03 01:46:00	M1 micro scalp blocked spread=0.67 max=0.25 prop=yes
2025.11.03 01:47:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 01:48:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 01:49:01	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:50:00	M5 scalp blocked spread=0.65 max=0.35 prop=yes
2025.11.03 01:50:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:51:00	M1 micro scalp blocked spread=1.11 max=0.25 prop=yes
2025.11.03 01:52:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:53:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:54:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:55:00	M5 scalp blocked spread=0.64 max=0.35 prop=yes
2025.11.03 01:55:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:56:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 01:57:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:58:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 01:59:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:01:00	M1 micro scalp blocked spread=0.71 max=0.25 prop=yes
2025.11.03 02:02:00	M1 micro scalp blocked spread=0.74 max=0.25 prop=yes
2025.11.03 02:03:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:04:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:05:00	M5 scalp blocked spread=0.65 max=0.35 prop=yes
2025.11.03 02:05:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:06:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:07:00	M1 micro scalp blocked spread=0.60 max=0.25 prop=yes
2025.11.03 02:08:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:09:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:10:00	M5 scalp blocked spread=0.68 max=0.35 prop=yes
2025.11.03 02:10:00	M1 micro scalp blocked spread=0.68 max=0.25 prop=yes
2025.11.03 02:11:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:12:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:13:00	M1 micro scalp blocked spread=0.62 max=0.25 prop=yes
2025.11.03 02:14:00	M1 micro scalp blocked spread=1.32 max=0.25 prop=yes
2025.11.03 02:15:00	Breakout retest setup blocked dir=-1 hour=2 close=3967.96 level=3977.36 prevHigh=4010.26 prevLow=3977.36 bodyAtr=0.60 minBodyAtr=0.35 bodyRatio=0.55 minBodyRatio=0.35 body=yes bodyRatioOk=yes volume=3054 avgVolume=3024.90 requiredVolume=3327.39 volumeOk=no hourOk=no adx=18.63 minAdx=25.00 adxOk=no diGap=10.62 minDiGap=4.00 diOk=yes ema=no vwap=yes h1=no zone=yes
2025.11.03 02:16:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 02:17:00	M1 micro scalp blocked spread=0.89 max=0.25 prop=yes
2025.11.03 02:18:00	M1 micro scalp blocked spread=0.70 max=0.25 prop=yes
2025.11.03 02:19:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 02:20:00	M5 scalp blocked spread=0.71 max=0.35 prop=yes
2025.11.03 02:20:00	M1 micro scalp blocked spread=0.71 max=0.25 prop=yes
2025.11.03 02:21:00	M1 micro scalp blocked spread=0.74 max=0.25 prop=yes
2025.11.03 02:22:00	M1 micro scalp blocked spread=0.72 max=0.25 prop=yes
2025.11.03 02:23:00	M1 micro scalp blocked spread=0.71 max=0.25 prop=yes
2025.11.03 02:24:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:25:00	M5 scalp blocked spread=0.66 max=0.35 prop=yes
2025.11.03 02:25:00	M1 micro scalp blocked spread=0.66 max=0.25 prop=yes
2025.11.03 02:26:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:27:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:28:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:29:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:31:00	M1 micro scalp blocked spread=0.63 max=0.25 prop=yes
2025.11.03 02:32:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:33:00	M1 micro scalp blocked spread=0.65 max=0.25 prop=yes
2025.11.03 02:34:00	M1 micro scalp blocked spread=0.61 max=0.25 prop=yes
2025.11.03 02:35:00	M5 scalp blocked spread=0.64 max=0.35 prop=yes
2025.11.03 02:35:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
2025.11.03 02:36:00	M1 micro scalp blocked spread=0.64 max=0.25 prop=yes
