time	message
2024.01.01 00:00:00	Compound governor tester state reset
2024.01.01 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2024.01.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2024.01.02 02:00:00	Monthly risk baseline reset month=202401 equity=50000.00
2024.01.02 02:01:00	M1 micro scalp blocked spread=0.90 max=0.25 prop=no
2024.01.02 02:02:00	M1 micro scalp blocked spread=0.90 max=0.25 prop=no
2024.01.02 02:03:00	M1 micro scalp blocked spread=0.90 max=0.25 prop=no
2024.01.02 02:05:00	M1 micro scalp blocked dir=1 hour=2 spread=0.20 adx=34.48 minAdx=18.00 adxOk=yes diGap=22.27 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.57 atrRatio=1.36 atrOk=yes zone=yes hourOk=no
2024.01.02 02:06:00	M1 micro scalp blocked dir=1 hour=2 spread=0.20 adx=38.07 minAdx=18.00 adxOk=yes diGap=19.30 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.62 atrRatio=1.47 atrOk=yes zone=yes hourOk=no
2024.01.02 02:07:00	M1 micro scalp blocked reason=no_setup hour=2 close=2064.11 ema21=2063.64 vwap=2064.47 low=2063.82 high=2064.73 spread=0.20 longPullback=no shortPullback=no
