time	message
2025.01.01 00:00:00	Compound governor tester state reset
2025.01.01 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.01.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.01.01 00:00:00	Monthly risk baseline reset month=202501 equity=50000.00
2025.01.01 00:05:00	M1 micro scalp blocked dir=1 hour=0 spread=0.13 adx=17.31 minAdx=18.00 adxOk=no diGap=6.36 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.36 atrRatio=0.91 atrOk=yes zone=yes hourOk=no
2025.01.01 00:06:00	M1 micro scalp blocked dir=1 hour=0 spread=0.13 adx=16.84 minAdx=18.00 adxOk=no diGap=5.51 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.36 atrRatio=0.91 atrOk=yes zone=yes hourOk=no
2025.01.01 00:07:00	M1 micro scalp blocked dir=1 hour=0 spread=0.13 adx=15.77 minAdx=18.00 adxOk=no diGap=3.83 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.35 atrRatio=0.90 atrOk=yes zone=yes hourOk=no
2025.01.01 00:08:00	M1 micro scalp blocked dir=1 hour=0 spread=0.13 adx=13.68 minAdx=18.00 adxOk=no diGap=0.01 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.36 atrRatio=0.91 atrOk=yes zone=yes hourOk=no
2025.01.01 00:09:00	M1 micro scalp blocked reason=no_setup hour=0 close=2623.75 ema21=2623.38 vwap=2623.30 low=2623.56 high=2623.96 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:10:00	M1 micro scalp blocked reason=no_setup hour=0 close=2623.99 ema21=2623.43 vwap=2623.36 low=2623.76 high=2624.08 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:11:00	M1 micro scalp blocked reason=no_setup hour=0 close=2623.88 ema21=2623.47 vwap=2623.40 low=2623.69 high=2623.98 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:12:00	M1 micro scalp blocked reason=no_setup hour=0 close=2624.01 ema21=2623.52 vwap=2623.42 low=2623.94 high=2624.07 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:13:00	M1 micro scalp blocked reason=no_setup hour=0 close=2624.07 ema21=2623.57 vwap=2623.45 low=2623.95 high=2624.07 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:14:00	M1 micro scalp blocked reason=no_setup hour=0 close=2624.01 ema21=2623.61 vwap=2623.47 low=2624.00 high=2624.08 spread=0.13 longPullback=no shortPullback=no
2025.01.01 00:16:00	M1 micro scalp blocked volatilityRegime hour=0 atr=0.27 avgAtr=0.38 atrRatio=0.72 min=0.75 max=1.70
2025.01.01 00:17:00	M1 micro scalp blocked volatilityRegime hour=0 atr=0.25 avgAtr=0.38 atrRatio=0.67 min=0.75 max=1.70
2025.01.01 00:18:00	M1 micro scalp blocked volatilityRegime hour=0 atr=0.23 avgAtr=0.37 atrRatio=0.63 min=0.75 max=1.70
2025.01.01 00:19:00	M1 micro scalp blocked volatilityRegime hour=0 atr=0.22 avgAtr=0.37 atrRatio=0.60 min=0.75 max=1.70
