time	message
2025.07.25 00:00:00	Compound governor tester state reset
2025.07.25 00:00:00	Robust regime tester state reset
2025.07.25 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=1.000 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.07.25 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.07.25 01:00:00	Monthly risk baseline reset month=202507 equity=50000.00
2025.07.25 01:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.10 adx=30.32 minAdx=18.00 adxOk=yes diGap=7.09 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=no m15Short=yes atr=1.36 atrRatio=0.70 atrOk=yes zone=yes hourOk=no
2025.07.25 01:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.10 adx=31.46 minAdx=18.00 adxOk=yes diGap=12.22 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=no m15Short=yes atr=1.50 atrRatio=0.79 atrOk=yes zone=yes hourOk=no
2025.07.25 01:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.13 adx=30.56 minAdx=18.00 adxOk=yes diGap=8.12 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=no m15Short=yes atr=1.51 atrRatio=0.81 atrOk=yes zone=yes hourOk=no
2025.07.25 01:50:00	M5 scalp blocked reason=no_setup hour=1 close=3367.22 ema21=3368.08 vwap=3367.09 low=3366.49 high=3367.55 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.07.25 01:55:01	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.13 adx=23.39 minAdx=18.00 adxOk=yes diGap=1.66 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=no m15Short=yes atr=1.43 atrRatio=0.83 atrOk=yes zone=yes hourOk=no
2025.07.25 02:05:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.12 adx=25.79 minAdx=18.00 adxOk=yes diGap=12.94 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes atr=1.57 atrRatio=0.94 atrOk=yes zone=yes hourOk=no
2025.07.25 02:10:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.12 adx=28.67 minAdx=18.00 adxOk=yes diGap=15.65 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes atr=1.67 atrRatio=1.00 atrOk=yes zone=yes hourOk=no
2025.07.25 02:20:00	M5 scalp blocked reason=no_setup hour=2 close=3370.47 ema21=3368.70 vwap=3368.00 low=3369.98 high=3370.96 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.07.25 02:25:01	M5 scalp blocked reason=no_setup hour=2 close=3370.07 ema21=3368.83 vwap=3368.10 low=3369.95 high=3370.68 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.07.25 02:35:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.11 adx=29.07 minAdx=18.00 adxOk=yes diGap=8.34 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes atr=1.61 atrRatio=1.01 atrOk=yes zone=yes hourOk=no
