time	message
2026.01.09 00:00:00	Compound governor tester state reset
2026.01.09 00:00:00	Robust regime tester state reset
2026.01.09 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=1.000 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2026.01.09 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2026.01.09 01:00:01	Monthly risk baseline reset month=202601 equity=50000.00
2026.01.09 01:25:00	M5 scalp blocked reason=no_setup hour=1 close=4475.73 ema21=4473.95 vwap=4477.49 low=4475.19 high=4476.42 spread=0.15 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.09 01:35:00	M5 scalp blocked reason=no_setup hour=1 close=4476.29 ema21=4474.43 vwap=4477.32 low=4475.47 high=4477.48 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.09 01:40:00	M5 scalp blocked reason=no_setup hour=1 close=4476.45 ema21=4474.61 vwap=4477.17 low=4475.33 high=4476.70 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.09 01:50:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.14 adx=40.82 minAdx=18.00 adxOk=yes diGap=3.05 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=3.02 atrRatio=0.74 atrOk=yes zone=yes hourOk=no
2026.01.09 01:55:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.14 adx=35.54 minAdx=18.00 adxOk=yes diGap=0.36 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=3.03 atrRatio=0.75 atrOk=yes zone=yes hourOk=no
2026.01.09 02:05:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.14 adx=28.12 minAdx=18.00 adxOk=yes diGap=2.31 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=2.91 atrRatio=0.74 atrOk=yes zone=yes hourOk=no
2026.01.09 02:10:00	M5 scalp blocked reason=no_setup hour=2 close=4475.95 ema21=4474.82 vwap=4476.30 low=4473.95 high=4476.14 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.09 02:20:00	M5 scalp blocked volatilityRegime hour=2 atr=2.58 avgAtr=3.80 atrRatio=0.68 min=0.70 max=1.80
2026.01.09 02:25:01	M5 scalp blocked volatilityRegime hour=2 atr=2.58 avgAtr=3.76 atrRatio=0.69 min=0.70 max=1.80
2026.01.09 02:35:00	M5 scalp blocked reason=no_setup hour=2 close=4468.14 ema21=4472.58 vwap=4473.88 low=4463.92 high=4468.63 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
