time	message
2025.07.25 00:00:00	Compound governor tester state reset
2025.07.25 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.07.25 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.07.25 01:00:00	Monthly risk baseline reset month=202507 equity=50000.00
2025.07.25 01:05:01	M1 micro scalp blocked dir=1 hour=1 spread=0.13 adx=33.34 minAdx=18.00 adxOk=yes diGap=14.52 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.70 atrRatio=1.30 atrOk=yes zone=yes hourOk=no
2025.07.25 01:06:00	M1 micro scalp blocked dir=1 hour=1 spread=0.10 adx=36.02 minAdx=18.00 adxOk=yes diGap=16.02 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.71 atrRatio=1.32 atrOk=yes zone=yes hourOk=no
2025.07.25 01:07:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.10 adx=32.46 minAdx=18.00 adxOk=yes diGap=3.40 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.71 atrRatio=1.32 atrOk=yes zone=yes hourOk=no
2025.07.25 01:08:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.10 adx=30.43 minAdx=18.00 adxOk=yes diGap=7.21 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.75 atrRatio=1.38 atrOk=yes zone=yes hourOk=no
2025.07.25 01:09:04	M1 micro scalp blocked reason=no_setup hour=1 close=3367.84 ema21=3368.56 vwap=3368.78 low=3367.53 high=3368.25 spread=0.12 longPullback=no shortPullback=no
2025.07.25 01:10:00	M1 micro scalp blocked reason=no_setup hour=1 close=3367.30 ema21=3368.45 vwap=3368.66 low=3367.03 high=3367.94 spread=0.10 longPullback=no shortPullback=no
2025.07.25 01:11:00	M1 micro scalp blocked reason=no_setup hour=1 close=3367.97 ema21=3368.40 vwap=3368.60 low=3367.28 high=3367.97 spread=0.12 longPullback=no shortPullback=no
2025.07.25 01:12:00	M1 micro scalp blocked reason=no_setup hour=1 close=3367.79 ema21=3368.35 vwap=3368.56 low=3367.57 high=3367.93 spread=0.11 longPullback=no shortPullback=no
