window,month,closed_trades,net_profit,return_pct,target_cash,target_hit,target_hit_time,closed_balance_dd_pct
h1-2024,2024-01,3,397.72,0.79544,4000.0,no,,0.0
h1-2024,2024-02,3,441.87,0.88374,4000.0,no,,0.0
h1-2024,2024-03,2,-411.93,-0.82386,4000.0,no,,0.82386
h1-2024,2024-04,19,3211.59,6.42318,4000.0,no,,1.015889
h1-2024,2024-05,3,29.8,0.0596,4000.0,no,,0.269113
h1-2024,2024-06,11,-162.11,-0.32422,4000.0,no,,0.710931
h2-2024,2024-07,6,1089.35,2.1787,4000.0,no,,0.354552
h2-2024,2024-10,9,716.37,1.43274,4000.0,no,,0.91992
h2-2024,2024-11,5,-370.31,-0.74062,4000.0,no,,0.83764
h2-2024,2024-12,3,29.88,0.05976,4000.0,no,,0.45192
h1-2025,2025-01,3,890.78,1.78156,4000.0,no,,0.0
h1-2025,2025-02,4,-243.35,-0.4867,4000.0,no,,0.97722
h1-2025,2025-03,7,1112.31,2.22462,4000.0,no,,0.47891
h1-2025,2025-04,18,1545.68,3.09136,4000.0,no,,0.479369
h1-2025,2025-05,6,-13.14,-0.02628,4000.0,no,,0.51891
h1-2025,2025-06,12,174.23,0.34846,4000.0,no,,0.7591
h2-2025,2025-07,10,665.31,1.33062,4000.0,no,,0.44336
h2-2025,2025-08,6,-185.87,-0.37174,4000.0,no,,0.864266
h2-2025,2025-09,9,-195.67,-0.39134,4000.0,no,,2.886686
h2-2025,2025-10,10,1555.25,3.1105,4000.0,no,,1.524769
h2-2025,2025-11,4,-857.15,-1.7143,4000.0,no,,1.7143
h2-2025,2025-12,13,3038.02,6.07604,4000.0,no,,0.1092
h1-2026,2026-01,3,310.39,0.62078,4000.0,no,,0.0
h1-2026,2026-02,1,-191.31,-0.38262,4000.0,no,,0.38262
h1-2026,2026-03,5,-287.53,-0.57506,4000.0,no,,0.57506
h1-2026,2026-04,13,-512.72,-1.02544,4000.0,no,,2.55036
h1-2026,2026-05,7,290.91,0.58182,4000.0,no,,0.465797
h1-2026,2026-06,16,968.35,1.9367,4000.0,no,,0.500929
