time	message
2025.01.01 00:00:00	Compound governor tester state reset
2025.01.01 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.01.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.01.01 00:00:00	Monthly risk baseline reset month=202501 equity=50000.00
2025.01.01 00:25:00	M5 scalp blocked volatilityRegime hour=0 atr=0.75 avgAtr=1.56 atrRatio=0.48 min=0.70 max=1.80
2025.01.01 00:35:00	M5 scalp blocked volatilityRegime hour=0 atr=0.72 avgAtr=1.51 atrRatio=0.47 min=0.70 max=1.80
2025.01.01 00:40:00	M5 scalp blocked volatilityRegime hour=0 atr=0.67 avgAtr=1.50 atrRatio=0.45 min=0.70 max=1.80
2025.01.01 00:50:00	M5 scalp blocked volatilityRegime hour=0 atr=0.64 avgAtr=1.47 atrRatio=0.43 min=0.70 max=1.80
2025.01.01 00:55:00	M5 scalp blocked volatilityRegime hour=0 atr=0.63 avgAtr=1.46 atrRatio=0.43 min=0.70 max=1.80
2025.01.02 02:10:00	M5 scalp blocked spread=0.73 max=0.50 prop=no
2025.01.02 02:25:00	M5 scalp blocked volatilityRegime hour=2 atr=0.64 avgAtr=1.40 atrRatio=0.46 min=0.70 max=1.80
2025.01.02 02:35:00	M5 scalp blocked volatilityRegime hour=2 atr=0.66 avgAtr=1.36 atrRatio=0.48 min=0.70 max=1.80
2025.01.02 02:40:00	M5 scalp blocked volatilityRegime hour=2 atr=0.70 avgAtr=1.34 atrRatio=0.53 min=0.70 max=1.80
2025.01.02 02:50:00	M5 scalp blocked volatilityRegime hour=2 atr=0.86 avgAtr=1.33 atrRatio=0.65 min=0.70 max=1.80
2025.01.02 02:55:00	M5 scalp blocked volatilityRegime hour=2 atr=0.90 avgAtr=1.32 atrRatio=0.68 min=0.70 max=1.80
2025.01.02 03:05:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.11 adx=26.01 minAdx=18.00 adxOk=yes diGap=5.80 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no atr=0.96 atrRatio=0.74 atrOk=yes zone=yes hourOk=no
2025.01.02 03:10:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=3 spread=0.05 adx=23.22 minAdx=18.00 adxOk=yes diGap=2.37 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no atr=1.13 atrRatio=0.86 atrOk=yes zone=yes hourOk=no
2025.01.02 03:20:00	M5 scalp blocked reason=no_setup hour=3 close=2625.70 ema21=2624.15 vwap=2624.26 low=2625.26 high=2625.79 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.01.02 03:25:00	M5 scalp blocked reason=no_setup hour=3 close=2626.24 ema21=2624.34 vwap=2624.41 low=2625.57 high=2626.49 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.01.02 03:35:00	M5 scalp blocked reason=no_setup hour=3 close=2625.76 ema21=2624.64 vwap=2624.65 low=2625.45 high=2626.42 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.01.02 03:40:00	M5 scalp blocked reason=no_setup hour=3 close=2626.32 ema21=2624.79 vwap=2624.74 low=2625.65 high=2626.45 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
