time	message
2024.07.01 00:00:00	Compound governor tester state reset
2024.07.01 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2024.07.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2024.07.01 02:00:00	Monthly risk baseline reset month=202407 equity=50000.00
2024.07.01 02:25:00	M5 scalp blocked reason=no_setup hour=2 close=2324.92 ema21=2325.09 vwap=2324.64 low=2324.44 high=2325.42 spread=0.17 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 02:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.05 adx=24.50 minAdx=18.00 adxOk=yes diGap=3.92 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=no m15Short=yes atr=1.22 atrRatio=0.79 atrOk=yes zone=yes hourOk=no
2024.07.01 02:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.10 adx=24.14 minAdx=18.00 adxOk=yes diGap=5.76 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.25 atrRatio=0.82 atrOk=yes zone=yes hourOk=no
2024.07.01 02:50:00	M5 scalp blocked reason=no_setup hour=2 close=2324.86 ema21=2324.89 vwap=2324.57 low=2324.56 high=2324.88 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 02:55:00	M5 scalp blocked reason=no_setup hour=2 close=2324.59 ema21=2324.86 vwap=2324.58 low=2324.57 high=2324.96 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 03:05:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.10 adx=22.82 minAdx=18.00 adxOk=yes diGap=16.77 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.19 atrRatio=0.85 atrOk=yes zone=yes hourOk=no
2024.07.01 03:10:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.10 adx=25.58 minAdx=18.00 adxOk=yes diGap=14.54 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.21 atrRatio=0.88 atrOk=yes zone=yes hourOk=no
2024.07.01 03:20:00	M5 scalp blocked volatilityRegime hour=3 atr=0.83 avgAtr=1.34 atrRatio=0.62 min=0.70 max=1.80
2024.07.01 03:25:00	M5 scalp blocked volatilityRegime hour=3 atr=0.76 avgAtr=1.32 atrRatio=0.58 min=0.70 max=1.80
2024.07.01 03:35:00	M5 scalp blocked volatilityRegime hour=3 atr=0.68 avgAtr=1.27 atrRatio=0.53 min=0.70 max=1.80
2024.07.01 03:40:00	M5 scalp blocked volatilityRegime hour=3 atr=0.70 avgAtr=1.24 atrRatio=0.56 min=0.70 max=1.80
2024.07.01 03:50:00	M5 scalp blocked volatilityRegime hour=3 atr=0.64 avgAtr=1.20 atrRatio=0.54 min=0.70 max=1.80
2024.07.01 03:55:00	M5 scalp blocked volatilityRegime hour=3 atr=0.63 avgAtr=1.18 atrRatio=0.53 min=0.70 max=1.80
2024.07.01 04:05:00	M5 scalp blocked volatilityRegime hour=4 atr=0.76 avgAtr=1.16 atrRatio=0.66 min=0.70 max=1.80
2024.07.01 04:10:00	M5 scalp blocked volatilityRegime hour=4 atr=0.81 avgAtr=1.16 atrRatio=0.70 min=0.70 max=1.80
2024.07.01 04:15:00	SMC candidate h4=no h1=no m15=yes dir=-1 h4Dir=-1 h1Dir=1 m15Dir=-1 smcScore=25.00 fvg=yes ob=yes h4PD=no h4Sweep=yes h4Disp=no h4Bos=no h4Overlap=no h1Aligned=no h1Sweep=no h1Disp=no h1Bos=no h1Overlap=yes m15Sweep=no m15RecentSweep=no m15Disp=yes m15Bos=yes m15HasZone=yes m15Overlap=no m15Retest=yes m15Sequence=no
2024.07.01 04:15:00	SMC setup allocation blocked reason=hour dir=-1 hour=4 allowedLong=7;12;18 allowedShort=99 score=25.00
2024.07.01 04:20:00	M5 scalp blocked reason=no_setup hour=4 close=2322.69 ema21=2324.43 vwap=2324.35 low=2322.25 high=2323.17 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 04:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.10 adx=30.65 minAdx=18.00 adxOk=yes diGap=11.15 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=0.81 atrRatio=0.72 atrOk=yes zone=yes hourOk=no
2024.07.01 04:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.10 adx=29.28 minAdx=18.00 adxOk=yes diGap=7.29 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=0.94 atrRatio=0.84 atrOk=yes zone=yes hourOk=no
2024.07.01 04:40:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=4 spread=0.10 adx=26.50 minAdx=18.00 adxOk=yes diGap=3.67 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes atr=1.05 atrRatio=0.94 atrOk=yes zone=yes hourOk=no
2024.07.01 04:50:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.10 adx=23.04 minAdx=18.00 adxOk=yes diGap=6.08 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.05 atrRatio=0.95 atrOk=yes zone=yes hourOk=no
2024.07.01 04:55:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.10 adx=23.99 minAdx=18.00 adxOk=yes diGap=13.88 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=1.07 atrRatio=0.97 atrOk=yes zone=yes hourOk=no
2024.07.01 05:05:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.10 adx=19.78 minAdx=18.00 adxOk=yes diGap=0.48 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes atr=1.29 atrRatio=1.15 atrOk=yes zone=yes hourOk=no
2024.07.01 05:10:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.10 adx=17.78 minAdx=18.00 adxOk=no diGap=1.95 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes atr=1.37 atrRatio=1.22 atrOk=yes zone=yes hourOk=no
2024.07.01 05:20:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.10 adx=15.43 minAdx=18.00 adxOk=no diGap=0.36 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=1.30 atrRatio=1.17 atrOk=yes zone=yes hourOk=no
2024.07.01 05:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.10 adx=13.85 minAdx=18.00 adxOk=no diGap=1.31 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=1.30 atrRatio=1.18 atrOk=yes zone=yes hourOk=no
2024.07.01 05:35:00	M5 scalp blocked reason=no_setup hour=5 close=2328.30 ema21=2325.36 vwap=2324.77 low=2327.22 high=2328.45 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 05:40:00	M5 scalp blocked reason=no_setup hour=5 close=2326.93 ema21=2325.50 vwap=2324.87 low=2326.77 high=2328.47 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 05:50:00	M5 scalp blocked reason=no_setup hour=5 close=2326.50 ema21=2325.66 vwap=2324.99 low=2326.37 high=2327.00 spread=0.09 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2024.07.01 05:55:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.10 adx=14.49 minAdx=18.00 adxOk=no diGap=1.63 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=1.29 atrRatio=1.18 atrOk=yes zone=yes hourOk=no
