time	message
2025.04.02 00:00:00	Compound governor tester state reset
2025.04.02 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.04.02 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.04.02 01:00:00	Monthly risk baseline reset month=202504 equity=50000.00
2025.04.02 01:03:00	M1 micro scalp blocked spread=0.35 max=0.25 prop=no
2025.04.02 01:05:00	M1 micro scalp blocked volatilityRegime hour=1 atr=1.31 avgAtr=0.76 atrRatio=1.73 min=0.75 max=1.70
2025.04.02 01:06:00	M1 micro scalp blocked volatilityRegime hour=1 atr=1.32 avgAtr=0.76 atrRatio=1.73 min=0.75 max=1.70
2025.04.02 01:07:00	M1 micro scalp blocked reason=no_setup hour=1 close=3114.75 ema21=3115.19 vwap=3113.89 low=3114.43 high=3115.18 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:08:02	M1 micro scalp blocked reason=no_setup hour=1 close=3114.06 ema21=3115.08 vwap=3113.92 low=3113.73 high=3114.73 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:09:07	M1 micro scalp blocked spread=0.40 max=0.25 prop=no
2025.04.02 01:10:00	M1 micro scalp blocked reason=no_setup hour=1 close=3114.25 ema21=3114.91 vwap=3113.92 low=3113.35 high=3114.28 spread=0.20 longPullback=no shortPullback=no
2025.04.02 01:11:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.16 adx=28.92 minAdx=18.00 adxOk=yes diGap=13.02 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.17 atrRatio=1.50 atrOk=yes zone=yes hourOk=no
2025.04.02 01:12:00	M1 micro scalp blocked reason=no_setup hour=1 close=3112.52 ema21=3114.56 vwap=3113.73 low=3112.30 high=3113.31 spread=0.17 longPullback=no shortPullback=no
2025.04.02 01:13:01	M1 micro scalp blocked reason=no_setup hour=1 close=3112.75 ema21=3114.39 vwap=3113.68 low=3112.46 high=3113.02 spread=0.16 longPullback=no shortPullback=no
2025.04.02 01:14:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.16 adx=29.65 minAdx=18.00 adxOk=yes diGap=6.04 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.06 atrRatio=1.36 atrOk=yes zone=yes hourOk=no
2025.04.02 01:16:00	M1 micro scalp blocked reason=no_setup hour=1 close=3110.29 ema21=3113.71 vwap=3113.29 low=3109.84 high=3112.40 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:17:00	M1 micro scalp blocked reason=no_setup hour=1 close=3109.55 ema21=3113.33 vwap=3112.80 low=3109.09 high=3110.80 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:18:00	M1 micro scalp blocked reason=no_setup hour=1 close=3109.14 ema21=3112.95 vwap=3112.46 low=3108.76 high=3109.64 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:19:01	M1 micro scalp blocked reason=no_setup hour=1 close=3109.59 ema21=3112.64 vwap=3112.16 low=3108.83 high=3109.67 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:20:00	M1 micro scalp blocked reason=no_setup hour=1 close=3107.96 ema21=3112.22 vwap=3111.84 low=3107.60 high=3110.04 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:21:00	M1 micro scalp blocked reason=no_setup hour=1 close=3109.27 ema21=3111.95 vwap=3111.62 low=3107.57 high=3109.33 spread=0.17 longPullback=no shortPullback=no
2025.04.02 01:22:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.10 adx=43.56 minAdx=18.00 adxOk=yes diGap=8.67 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.41 atrRatio=1.69 atrOk=yes zone=yes hourOk=no
2025.04.02 01:23:00	M1 micro scalp blocked volatilityRegime hour=1 atr=1.44 avgAtr=0.84 atrRatio=1.71 min=0.75 max=1.70
2025.04.02 01:24:00	M1 micro scalp blocked reason=no_setup hour=1 close=3110.88 ema21=3111.66 vwap=3111.48 low=3110.40 high=3110.89 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:25:02	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.11 adx=42.48 minAdx=18.00 adxOk=yes diGap=19.10 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=no m15Short=yes atr=2.22 atrRatio=0.74 atrOk=yes zone=yes hourOk=no
2025.04.02 01:25:02	M1 micro scalp blocked reason=no_setup hour=1 close=3110.99 ema21=3111.60 vwap=3111.47 low=3110.61 high=3111.02 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:26:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.13 adx=32.29 minAdx=18.00 adxOk=yes diGap=8.17 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=no m15Short=yes m5=yes m5Long=no m5Short=yes atr=1.33 atrRatio=1.58 atrOk=yes zone=yes hourOk=no
2025.04.02 01:27:00	M1 micro scalp blocked dir=1 hour=1 spread=0.11 adx=32.58 minAdx=18.00 adxOk=yes diGap=12.43 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=yes atr=1.40 atrRatio=1.66 atrOk=yes zone=yes hourOk=no
2025.04.02 01:28:00	M1 micro scalp blocked dir=1 hour=1 spread=0.11 adx=32.98 minAdx=18.00 adxOk=yes diGap=11.29 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=yes atr=1.38 atrRatio=1.64 atrOk=yes zone=yes hourOk=no
2025.04.02 01:29:00	M1 micro scalp blocked dir=1 hour=1 spread=0.10 adx=31.17 minAdx=18.00 adxOk=yes diGap=6.07 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=yes atr=1.35 atrRatio=1.60 atrOk=yes zone=yes hourOk=no
2025.04.02 01:31:00	M1 micro scalp blocked dir=1 hour=1 spread=0.14 adx=26.41 minAdx=18.00 adxOk=yes diGap=5.41 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=yes atr=1.29 atrRatio=1.51 atrOk=yes zone=yes hourOk=no
2025.04.02 01:32:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.10 ema21=3111.89 vwap=3111.59 low=3112.59 high=3113.49 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:33:00	M1 micro scalp blocked reason=no_setup hour=1 close=3112.86 ema21=3111.97 vwap=3111.63 low=3112.86 high=3113.47 spread=0.12 longPullback=no shortPullback=no
2025.04.02 01:34:01	M1 micro scalp blocked dir=1 hour=1 spread=0.11 adx=22.54 minAdx=18.00 adxOk=yes diGap=4.50 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=yes atr=1.18 atrRatio=1.38 atrOk=yes zone=yes hourOk=no
2025.04.02 01:35:01	M5 scalp blocked reason=no_setup hour=1 close=3113.32 ema21=3114.49 vwap=3111.58 low=3111.07 high=3113.49 spread=0.15 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.04.02 01:35:01	M1 micro scalp blocked dir=1 hour=1 spread=0.15 adx=20.28 minAdx=18.00 adxOk=yes diGap=1.87 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.12 atrRatio=1.31 atrOk=yes zone=yes hourOk=no
2025.04.02 01:36:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.07 ema21=3112.22 vwap=3111.69 low=3112.80 high=3113.34 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:37:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.36 ema21=3112.32 vwap=3111.72 low=3113.13 high=3113.64 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:38:02	M1 micro scalp blocked reason=no_setup hour=1 close=3112.80 ema21=3112.37 vwap=3111.74 low=3112.79 high=3113.66 spread=0.16 longPullback=no shortPullback=no
2025.04.02 01:39:00	M1 micro scalp blocked dir=1 hour=1 spread=0.10 adx=16.98 minAdx=18.00 adxOk=no diGap=8.86 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.01 atrRatio=1.19 atrOk=yes zone=yes hourOk=no
2025.04.02 01:40:00	M5 scalp blocked reason=no_setup hour=1 close=3113.09 ema21=3114.36 vwap=3111.68 low=3112.27 high=3113.66 spread=0.10 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.04.02 01:40:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.09 ema21=3112.49 vwap=3111.78 low=3112.88 high=3113.44 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:41:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.05 ema21=3112.54 vwap=3111.80 low=3112.88 high=3113.37 spread=0.17 longPullback=no shortPullback=no
2025.04.02 01:42:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.49 ema21=3112.63 vwap=3111.81 low=3113.02 high=3113.55 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:43:00	M1 micro scalp blocked reason=no_setup hour=1 close=3113.19 ema21=3112.68 vwap=3111.83 low=3113.14 high=3113.72 spread=0.11 longPullback=no shortPullback=no
2025.04.02 01:44:00	M1 micro scalp blocked reason=no_setup hour=1 close=3112.66 ema21=3112.68 vwap=3111.85 low=3112.61 high=3113.29 spread=0.10 longPullback=no shortPullback=no
2025.04.02 01:46:03	M1 micro scalp blocked dir=1 hour=1 spread=0.24 adx=12.56 minAdx=18.00 adxOk=no diGap=0.14 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=0.69 atrRatio=0.81 atrOk=yes zone=yes hourOk=no
2025.04.02 01:47:01	M1 micro scalp blocked reason=no_setup hour=1 close=3112.69 ema21=3112.73 vwap=3111.90 low=3112.62 high=3113.31 spread=0.15 longPullback=no shortPullback=no
2025.04.02 01:48:00	M1 micro scalp blocked reason=no_setup hour=1 close=3112.61 ema21=3112.72 vwap=3111.91 low=3112.48 high=3113.03 spread=0.17 longPullback=no shortPullback=no
