window,setup,direction,trades,net_profit,max_consecutive_losses,worst_3_trade_net,worst_5_trade_net
h1-2024,breakout_retest,1,2,558.03,0,,
h1-2024,m1_micro_scalp,-1,11,149.48,4,-401.52,-413.55
h1-2024,m5_scalp,-1,17,1009.98,1,-46.25,31.46
h1-2024,smc,1,11,1789.45,2,-318.37,409.3
h1-2025,breakout_retest,1,9,2249.05,0,447.56,934.53
h1-2025,m1_micro_scalp,-1,27,106.84,7,-500.77,-718.81
h1-2025,m5_scalp,-1,13,890.04,1,-46.88,156.48
h1-2025,smc,1,1,220.58,0,,
h1-2026,m1_micro_scalp,-1,19,426.69,4,-704.37,-707.05
h1-2026,m5_scalp,-1,25,654.68,2,-137.6,-281.29
h1-2026,smc,1,1,-503.28,1,,
h2-2024,breakout_retest,1,9,2261.69,0,450.52,939.12
h2-2024,m1_micro_scalp,-1,7,-167.23,2,-300.43,-423.07
h2-2024,m5_scalp,-1,7,-629.17,4,-606.44,-648.92
h2-2025,breakout_retest,-1,1,164.4,0,,
h2-2025,breakout_retest,1,3,2.64,1,2.64,
h2-2025,m1_micro_scalp,-1,10,-159.78,4,-745.35,-884.25
h2-2025,m5_scalp,-1,14,-3.13,4,-606.1,-752.28
h2-2025,smc,1,24,4015.76,3,-845.96,-555.77
