window,month,setup,direction,trades,net_profit,profit_factor,win_rate_pct,average_trade
h1-2024,2024-01,m5_scalp,-1,3,397.72,397.72,100.0,132.57
h1-2024,2024-02,m5_scalp,-1,3,441.87,441.87,100.0,147.29
h1-2024,2024-03,m1_micro_scalp,-1,1,-200.88,0.0,0.0,-200.88
h1-2024,2024-03,m5_scalp,-1,1,-211.05,0.0,0.0,-211.05
h1-2024,2024-04,breakout_retest,1,2,558.03,558.03,100.0,279.01
h1-2024,2024-04,m1_micro_scalp,-1,6,864.11,864.11,100.0,144.02
h1-2024,2024-04,smc,1,11,1789.45,4.330758,81.818182,162.68
h1-2024,2024-05,m1_micro_scalp,-1,1,-135.0,0.0,0.0,-135.0
h1-2024,2024-05,m5_scalp,-1,2,164.8,164.8,100.0,82.4
h1-2024,2024-06,m1_micro_scalp,-1,3,-378.75,0.0,0.0,-126.25
h1-2024,2024-06,m5_scalp,-1,8,216.64,2.087005,75.0,27.08
h1-2025,2025-01,breakout_retest,1,3,890.78,890.78,100.0,296.93
h1-2025,2025-02,m1_micro_scalp,-1,4,-243.35,0.501955,50.0,-60.84
h1-2025,2025-03,breakout_retest,1,6,1358.27,1358.27,100.0,226.38
h1-2025,2025-03,m1_micro_scalp,-1,1,-245.96,0.0,0.0,-245.96
h1-2025,2025-04,m1_micro_scalp,-1,14,1109.16,3.039084,78.571429,79.23
h1-2025,2025-04,m5_scalp,-1,3,215.94,215.94,100.0,71.98
h1-2025,2025-04,smc,1,1,220.58,220.58,100.0,220.58
h1-2025,2025-05,m1_micro_scalp,-1,2,-247.38,0.0,0.0,-123.69
h1-2025,2025-05,m5_scalp,-1,4,234.24,2.728453,75.0,58.56
h1-2025,2025-06,m1_micro_scalp,-1,6,-265.63,0.552503,33.333333,-44.27
h1-2025,2025-06,m5_scalp,-1,6,439.86,4.864523,83.333333,73.31
h1-2026,2026-01,m5_scalp,-1,3,310.39,310.39,100.0,103.46
h1-2026,2026-02,m5_scalp,-1,1,-191.31,0.0,0.0,-191.31
h1-2026,2026-03,m1_micro_scalp,-1,1,-218.16,0.0,0.0,-218.16
h1-2026,2026-03,m5_scalp,-1,4,-69.37,0.677184,75.0,-17.34
h1-2026,2026-04,m1_micro_scalp,-1,6,-264.4,0.608673,50.0,-44.07
h1-2026,2026-04,m5_scalp,-1,6,254.96,2.179497,66.666667,42.49
h1-2026,2026-04,smc,1,1,-503.28,0.0,0.0,-503.28
h1-2026,2026-05,m1_micro_scalp,-1,3,89.75,1.381347,66.666667,29.92
h1-2026,2026-05,m5_scalp,-1,4,201.16,1.88828,75.0,50.29
h1-2026,2026-06,m1_micro_scalp,-1,9,819.5,4.807732,88.888889,91.06
h1-2026,2026-06,m5_scalp,-1,7,148.85,1.295531,71.428571,21.26
h2-2024,2024-07,breakout_retest,1,3,895.16,895.16,100.0,298.39
h2-2024,2024-07,m5_scalp,-1,3,194.19,2.076143,66.666667,64.73
h2-2024,2024-10,breakout_retest,1,6,1366.53,1366.53,100.0,227.75
h2-2024,2024-10,m1_micro_scalp,-1,1,-243.04,0.0,0.0,-243.04
h2-2024,2024-10,m5_scalp,-1,2,-407.12,0.0,0.0,-203.56
h2-2024,2024-11,m1_micro_scalp,-1,3,45.93,1.186768,66.666667,15.31
h2-2024,2024-11,m5_scalp,-1,2,-416.24,0.0,0.0,-208.12
h2-2024,2024-12,m1_micro_scalp,-1,3,29.88,1.132236,66.666667,9.96
h2-2025,2025-07,m1_micro_scalp,-1,3,383.76,383.76,100.0,127.92
h2-2025,2025-07,m5_scalp,-1,7,281.55,2.105722,71.428571,40.22
h2-2025,2025-08,m1_micro_scalp,-1,4,188.73,1.77705,75.0,47.18
h2-2025,2025-08,m5_scalp,-1,2,-374.6,0.0,0.0,-187.3
h2-2025,2025-09,breakout_retest,1,1,-508.08,0.0,0.0,-508.08
h2-2025,2025-09,m5_scalp,-1,1,-231.5,0.0,0.0,-231.5
h2-2025,2025-09,smc,1,7,543.91,1.73417,71.428571,77.7
h2-2025,2025-10,m5_scalp,-1,3,446.3,446.3,100.0,148.77
h2-2025,2025-10,smc,1,7,1108.95,2.401322,71.428571,158.42
h2-2025,2025-11,m1_micro_scalp,-1,3,-732.27,0.0,0.0,-244.09
h2-2025,2025-11,m5_scalp,-1,1,-124.88,0.0,0.0,-124.88
h2-2025,2025-12,breakout_retest,-1,1,164.4,164.4,100.0,164.4
h2-2025,2025-12,breakout_retest,1,2,510.72,510.72,100.0,255.36
h2-2025,2025-12,smc,1,10,2362.9,44.276557,90.0,236.29
