report,deposit,window,multiplier,implied_risk_pct,rolling_p_pass,rolling_p_daily_breach,rolling_p_dd_breach,rolling_p_censored,rolling_mean_days,rolling_median_days,bootstrap_p_pass,bootstrap_p_daily_breach,bootstrap_p_dd_breach,bootstrap_mean_days,bootstrap_median_days
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,0.014200,0.000000,0.985800,281.929577,234
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,0.053400,0.000000,0.946600,156.149813,133
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,0.091800,0.000000,0.908200,101.714597,84
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,2.500000,1.250000,0.000000,0.000000,0.055556,0.944444,,,0.123000,0.000000,0.877000,68.469919,61
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,3.000000,1.500000,0.000000,0.000000,0.166667,0.833333,,,0.147600,0.000000,0.852400,48.769648,42.500000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,0.987000,0.000000,0.013000,139.300304,120
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,1.500000,0.750000,0.162791,0.000000,0.000000,0.837209,38,38.000000,0.936400,0.000000,0.063600,88.313328,75.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,2.000000,1.000000,0.372093,0.000000,0.000000,0.627907,32.437500,33.500000,0.869800,0.000000,0.130200,60.467924,52
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,2.500000,1.250000,0.465116,0.000000,0.000000,0.534884,26.575000,26.500000,0.804600,0.000000,0.195400,43.788963,36
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,3.000000,1.500000,0.511628,0.000000,0.069767,0.418605,21.159091,21.000000,0.732600,0.000000,0.267400,32.541360,27
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,1.000000,0.500000,0.293750,0.000000,0.000000,0.706250,98.191489,97,0.994800,0.000000,0.005200,145.846602,129.000000
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,1.500000,0.750000,0.550000,0.000000,0.000000,0.450000,65.477273,64.500000,0.968600,0.000000,0.031400,96.407805,82
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,2.000000,1.000000,0.662500,0.000000,0.000000,0.337500,46.188679,49.500000,0.910000,0.000000,0.090000,67.801099,57.000000
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,2.500000,1.250000,0.712500,0.000000,0.000000,0.287500,34.710526,33.500000,0.858800,0.000000,0.141200,50.302748,42.000000
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,3.000000,1.500000,0.737500,0.000000,0.037500,0.225000,30,27.000000,0.810000,0.000000,0.190000,39.492346,33.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,0.016800,0.000000,0.983200,296.964286,241.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,0.062200,0.000000,0.937800,157.980707,136
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,0.104400,0.000000,0.895600,98.197318,84.500000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,2.500000,1.250000,0.000000,0.000000,0.055556,0.944444,,,0.135200,0.000000,0.864800,68.480769,59.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,3.000000,1.500000,0.000000,0.000000,0.166667,0.833333,,,0.155800,0.000000,0.844200,48.386393,42
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,0.989200,0.000000,0.010800,138.282046,121.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,1.500000,0.750000,0.162791,0.000000,0.000000,0.837209,38.142857,38.500000,0.947200,0.000000,0.052800,88.451436,75.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,2.000000,1.000000,0.395349,0.000000,0.000000,0.604651,31.941176,32.500000,0.883800,0.000000,0.116200,60.888889,52
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,2.500000,1.250000,0.465116,0.000000,0.000000,0.534884,26.550000,26.500000,0.819800,0.000000,0.180200,44.931447,38
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,3.000000,1.500000,0.511628,0.000000,0.046512,0.441860,21.159091,21.000000,0.752000,0.000000,0.248000,33.517819,28.000000
