report,deposit,window,multiplier,implied_risk_pct,rolling_p_pass,rolling_p_daily_breach,rolling_p_dd_breach,rolling_p_censored,rolling_mean_days,rolling_median_days,bootstrap_p_pass,bootstrap_p_daily_breach,bootstrap_p_dd_breach,bootstrap_mean_days,bootstrap_median_days
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,106.003600,105.000000
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,71.300400,71.000000
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,53.803400,53.000000
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,2.500000,1.250000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,43.307000,43.000000
GoldBot-prop-ftmo-p1-25000-6m,25000,6m,3.000000,1.500000,0.125000,0.000000,0.000000,0.875000,35.800000,36,1.000000,0.000000,0.000000,36.412600,36.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,224.929000,216.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,152.339800,144.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,115.565600,108.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,2.500000,1.250000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,93.436400,85.000000
GoldBot-prop-ftmo-p1-25000-1y,25000,1y,3.000000,1.500000,0.155844,0.000000,0.000000,0.844156,44.583333,38.500000,0.999800,0.000000,0.000200,78.966793,71
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,0.999200,0.000000,0.000800,845.844676,755.000000
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,0.982400,0.000000,0.017600,558.185871,474.500000
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,0.945800,0.000000,0.054200,400.606048,336
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,2.500000,1.250000,0.000000,0.000000,0.000000,1.000000,,,0.904600,0.000000,0.095400,302.651559,248
GoldBot-prop-ftmo-p1-25000-2y,25000,2y,3.000000,1.500000,0.183673,0.000000,0.000000,0.816327,60.925926,67,0.860800,0.000000,0.139200,235.898467,193.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,119.317400,118.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,80.090800,79.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,60.435400,60.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,2.500000,1.250000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,48.599400,48.000000
GoldBot-prop-ftmo-p1-50000-6m,50000,6m,3.000000,1.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,40.665600,40.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,256.572000,248.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,1.500000,0.750000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,173.024200,165.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,130.774200,122.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,2.500000,1.250000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,105.631400,98.000000
GoldBot-prop-ftmo-p1-50000-1y,50000,1y,3.000000,1.500000,0.000000,0.000000,0.000000,1.000000,,,1.000000,0.000000,0.000000,88.814200,81.000000
