time	message
2025.12.16 00:00:00	Compound governor tester state reset
2025.12.16 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.12.16 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.12.16 01:00:02	Monthly risk baseline reset month=202512 equity=50000.00
2025.12.16 01:05:00	M1 micro scalp blocked reason=no_setup hour=1 close=4307.43 ema21=4305.54 vwap=4308.25 low=4307.12 high=4309.77 spread=0.14 longPullback=no shortPullback=no
2025.12.16 01:06:01	M1 micro scalp blocked reason=no_setup hour=1 close=4307.62 ema21=4305.73 vwap=4308.04 low=4307.30 high=4308.36 spread=0.14 longPullback=no shortPullback=no
2025.12.16 01:07:00	M1 micro scalp blocked reason=no_setup hour=1 close=4306.79 ema21=4305.83 vwap=4307.79 low=4306.39 high=4307.74 spread=0.14 longPullback=no shortPullback=no
2025.12.16 01:08:00	M1 micro scalp blocked reason=no_setup hour=1 close=4306.82 ema21=4305.92 vwap=4307.69 low=4306.43 high=4306.88 spread=0.14 longPullback=no shortPullback=no
2025.12.16 01:09:00	M1 micro scalp blocked reason=no_setup hour=1 close=4307.06 ema21=4306.02 vwap=4307.50 low=4306.51 high=4307.08 spread=0.14 longPullback=no shortPullback=no
2025.12.16 01:10:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=23.84 minAdx=18.00 adxOk=yes diGap=1.95 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=no m15Short=yes m5=no m5Long=no m5Short=no atr=1.22 atrRatio=1.01 atrOk=yes zone=yes hourOk=no
