time	message
2026.01.01 00:00:00	Compound governor tester state reset
2026.01.01 00:00:00	Prop mode enabled challengeRiskPct=0.950 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2026.01.01 23:05:00	Monthly risk baseline reset month=202601 equity=25000.00
2026.01.01 23:35:00	M5 scalp blocked reason=no_setup hour=23 close=4340.62 ema21=4324.48 vwap=4336.11 low=4339.97 high=4341.84 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.01 23:40:01	M5 scalp blocked reason=no_setup hour=23 close=4340.48 ema21=4325.94 vwap=4336.73 low=4339.98 high=4343.96 spread=0.34 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.01 23:50:00	M5 scalp blocked reason=no_setup hour=23 close=4343.11 ema21=4329.11 vwap=4338.30 low=4342.27 high=4345.92 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.01 23:55:00	M5 scalp blocked reason=no_setup hour=23 close=4347.49 ema21=4330.78 vwap=4339.32 low=4341.83 high=4347.49 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 00:25:00	M5 scalp blocked reason=no_setup hour=0 close=4343.58 ema21=4337.68 vwap=4347.19 low=4342.62 high=4347.48 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 00:35:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=0 spread=0.11 adx=49.08 minAdx=18.00 adxOk=yes diGap=13.54 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.68 atrRatio=0.92 atrOk=yes zone=yes hourOk=no
2026.01.02 00:40:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=0 spread=0.11 adx=48.07 minAdx=18.00 adxOk=yes diGap=18.01 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.58 atrRatio=0.91 atrOk=yes zone=yes hourOk=no
2026.01.02 00:50:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=0 spread=0.11 adx=45.66 minAdx=18.00 adxOk=yes diGap=20.11 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.74 atrRatio=0.95 atrOk=yes zone=yes hourOk=no
2026.01.02 00:55:01	M5 scalp blocked reason=no_setup hour=0 close=4352.36 ema21=4343.05 vwap=4348.34 low=4350.75 high=4353.26 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 01:05:00	M5 scalp blocked reason=no_setup hour=1 close=4347.97 ema21=4344.42 vwap=4348.99 low=4347.28 high=4356.18 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 01:10:00	M5 scalp blocked reason=no_setup hour=1 close=4346.27 ema21=4344.58 vwap=4348.83 low=4345.17 high=4350.28 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 01:20:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.11 adx=35.01 minAdx=18.00 adxOk=yes diGap=4.38 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.79 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2026.01.02 01:25:00	M5 scalp blocked reason=no_setup hour=1 close=4346.41 ema21=4345.28 vwap=4348.62 low=4346.29 high=4349.91 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 01:35:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.11 adx=27.62 minAdx=18.00 adxOk=yes diGap=8.70 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.48 atrRatio=0.93 atrOk=yes zone=yes hourOk=no
2026.01.02 01:40:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.11 adx=25.79 minAdx=18.00 adxOk=yes diGap=4.74 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.27 atrRatio=0.89 atrOk=yes zone=yes hourOk=no
2026.01.02 01:50:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.11 adx=21.22 minAdx=18.00 adxOk=yes diGap=1.88 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=yes m15Short=no atr=4.61 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2026.01.02 01:55:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.11 adx=21.30 minAdx=18.00 adxOk=yes diGap=8.66 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.61 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2026.01.02 02:05:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.11 adx=17.08 minAdx=18.00 adxOk=no diGap=0.33 minDiGap=4.00 diOk=no h1=no m15=yes m15Long=yes m15Short=no atr=4.68 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2026.01.02 02:10:01	M5 scalp blocked reason=no_setup hour=2 close=4347.89 ema21=4347.55 vwap=4348.88 low=4346.79 high=4350.13 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:20:00	M5 scalp blocked reason=no_setup hour=2 close=4347.59 ema21=4347.51 vwap=4348.77 low=4345.16 high=4347.95 spread=0.11 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.11 adx=19.76 minAdx=18.00 adxOk=yes diGap=10.54 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no atr=3.75 atrRatio=0.80 atrOk=yes zone=yes hourOk=no
2026.01.02 02:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.11 adx=17.24 minAdx=18.00 adxOk=no diGap=0.35 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=3.76 atrRatio=0.80 atrOk=yes zone=yes hourOk=no
